,,,EleD_01,HydD1,EleD_02,EleD_03,EleD_04,EleD_05,EleD_06,EleD_07,EleD_08,EleD_09,EleD_10
period1,sc01,t0024, 0.230162948549639 ,, 0.200195948874738 , 0.209283646574136 , 0.24029887085189 , 0.223259660693716 , 0.256883327865573 , 0.255662925095723 , 3.48872809426632 , 0.241090397262299 , 0.519945833047548 
period1,sc01,t0025, 0.225169961665945 ,, 0.201843611591144 , 0.223695973270278 , 0.244728146756022 , 0.240497991870374 , 3.95313856748547 , 0.255538949321449 , 3.60448204685196 , 0.258380966623609 , 0.252205250442538 
period1,sc01,t0026, 0.200603044012009 ,, 0.226345637339573 , 0.299471711492106 , 0.224352423466226 , 0.213725729563683 , 4.06725008475446 , 3.54396631073858 , 0.255590643484328 , 0.239565353251599 , 3.60936764870228 
period1,sc01,t0027, 0.20688205211239 ,, 0.213840491595703 , 0.211099674724848 , 0.242658223422731 , 0.242153925290305 , 3.5511227900446 , 0.242128696328767 , 0.259024640399114 , 0.246131074547214 , 0.251107836097004 
period1,sc01,t0028, 0.208971468224586 ,, 0.226935070886917 , 0.437049119939523 , 0.246451541172464 , 0.237126983502588 , 0.246893829691498 , 4.06994921413573 , 0.237607556883105 , 4.00050885758711 , 0.259683623520925 
period1,sc01,t0029, 0.238941200107945 ,, 0.200205250875287 , 0.241395815144976 , 0.213135616007999 , 0.232249130536781 , 3.92869563366522 , 0.397094333307628 , 3.21326376931012 , 0.24414494009571 , 3.37968472929309 
period1,sc01,t0030, 0.20996958598023 ,, 0.228462354747949 , 0.247350638825044 , 0.236077928171741 , 0.492326319469888 , 0.230223716040551 , 3.93492602968223 , 3.9166739117457 , 3.6267554946635 , 0.233821699364658 
period1,sc01,t0031, 0.24105946051397 ,, 0.219081817157089 , 0.232505128011718 , 0.235990220685908 , 0.226724248756864 , 3.82025195711833 , 0.524497564976238 , 3.96312236124891 , 3.77481479432951 , 0.260699213928329 
period1,sc01,t0032, 0.208015239151762 ,, 0.204880066459292 , 0.243157659320431 , 0.241586616308428 , 0.236465535788691 , 0.258685506514622 , 3.46440076996826 , 0.254157096782089 , 0.272588201131656 , 3.27401538127928 
period1,sc01,t0033, 0.199248973740591 ,, 0.227684768533011 , 0.548672153642172 , 0.216671341604402 , 0.207264340932129 , 3.35751977205236 , 3.41599521120631 , 2.39937161951597 , 3.85226214021418 , 0.24777718465393 
period1,sc01,t0034, 0.208382310778904 ,, 0.292447026335221 , 0.232397994087187 , 0.329312710305179 , 0.336192167767675 , 3.7319547410603 , 3.77924292359431 , 0.262969933051653 , 0.232097643857685 , 0.247869267744014 
period1,sc01,t0035, 0.209078887530467 ,, 0.306551918447014 , 0.231361706623798 , 0.212478622612287 , 0.309160466649131 , 0.254613594185804 , 3.89075120704795 , 0.255396063737628 , 0.254959019661934 , 0.25313350641561 
period1,sc01,t0036, 0.20204010707167 ,, 0.208454172063389 , 0.233998304083075 , 0.311439531163828 , 0.240329887318849 , 3.9439816094677 , 3.79711312613066 , 0.244113945569834 , 3.5208415671215 , 0.234885951953396 
period1,sc01,t0037, 0.225031232763028 ,, 0.298209648009057 , 0.49821152926379 , 0.309022427687856 , 0.21377867590311 , 0.261482210987012 , 0.233985155369532 , 0.263609955887493 , 0.244137339099158 , 3.39938327555056 
period1,sc01,t0038, 0.229877741016055 ,, 0.301116027818322 , 0.317692288355628 , 0.220328863338048 , 0.222820459653754 , 0.236810996124712 , 0.233562139223998 , 0.258429255759258 , 3.45457781585762 , 0.246754439883194 
period1,sc01,t0039, 0.226745104967015 ,, 0.208710511392222 , 0.243052409895364 , 0.216130580848469 , 0.240845137368361 , 0.252701388731902 , 0.522296601345923 , 0.253452572462349 , 2.42838948111111 , 0.237851410975074 
period1,sc01,t0040, 0.225900040477502 ,, 3.56370453260467 , 0.223754417838348 , 0.225630448148589 , 0.52336539027009 , 0.23894842980994 , 0.267336809164251 , 3.6024006529997 , 0.267968078512243 , 0.249533316945311 
period1,sc01,t0041, 0.309014007667567 ,, 0.200393993035628 , 0.239541767743511 , 0.304335207357077 , 0.222293944486647 , 3.55822105884681 , 0.245616938805534 , 3.55391148810215 , 3.96927158730585 , 3.77677206329888 
period1,sc01,t0042, 0.525363457107586 ,, 0.309224084188708 , 0.451445119085594 , 0.243905507974821 , 0.222585324488848 , 3.73645313258642 , 0.527644683517645 , 0.528381979712751 , 0.503715274365199 , 6.25007261420529 
period1,sc01,t0043, 0.663790497492719 ,, 0.226423898145894 , 0.214649775955179 , 0.504096880581825 , 0.242505938109576 , 3.19792899450345 , 2.11416879545669 , 5.33356751429481 , 0.548062850843384 , 0.530050187719103 
period1,sc01,t0044, 0.749606504437708 ,, 0.200412020741797 , 0.576111253770887 , 0.451848667495805 , 0.209733561087943 , 1.86606635529326 , 6.42080800690974 , 0.489308016248079 , 0.24201216691011 , 0.666822808995473 
period1,sc01,t0045, 0.428631351984034 ,, 4.10543407229987 , 0.511790013553095 , 0.21824817994106 , 0.205836293826897 , 0.260250871022387 , 5.23399131113394 , 0.24388156687991 , 0.273305598661609 , 3.86207083602733 
period1,sc01,t0046, 0.292879631985471 ,, 3.5779489231893 , 0.690858673025895 , 0.239688366036341 , 0.224732010948849 , 0.236202679105263 , 5.58227161115466 , 3.52825746576776 , 3.654663536736 , 4.1953285373838 
period1,sc01,t0047, 0.485405871872189 ,, 0.214286616611311 , 0.300847130974975 , 0.24663444838861 , 0.576082924904947 , 4.23035546388558 , 0.229443965662778 , 0.25091889995955 , 3.53296827026488 , 0.502814218849663 
period1,sc01,t0048, 0.224386692330834 ,, 0.202191022418233 , 0.216638433940862 , 0.24386727537083 , 0.225076735526139 , 3.9173258703197 , 0.41587273317096 , 0.241459464832275 , 0.25964197299674 , 0.245591381015808 
