,,,BESS_01,Wind_01,FC_01
period1,sc01,t0494,,6059.012498031822,0.0
period1,sc01,t0495,,7234.737571855031,0.0
period1,sc01,t0496,,7427.590705121621,0.0
period1,sc01,t0497,,6998.127043374258,0.0
period1,sc01,t0498,,7279.855961813382,0.0
period1,sc01,t0499,,7570.116528744826,0.0
period1,sc01,t0500,,8828.471009927187,0.0
period1,sc01,t0501,,10909.705830766803,0.0
period1,sc01,t0502,,11682.978960051149,0.0
period1,sc01,t0503,,8211.531418248396,0.0
period1,sc01,t0504,,10829.6484037247,0.0
period1,sc01,t0505,,9705.833633819211,0.0
period1,sc01,t0506,,7965.303824267139,0.0
period1,sc01,t0507,,7898.019270868451,0.0
period1,sc01,t0508,,8218.161143548026,0.0
period1,sc01,t0509,,7902.495365052204,0.0
period1,sc01,t0510,,6166.842846675964,0.0
period1,sc01,t0511,,5649.584318271573,0.0
period1,sc01,t0512,,5006.126407666657,0.0
period1,sc01,t0513,,5274.652648684002,0.0
period1,sc01,t0514,,6549.3728576449685,0.0
period1,sc01,t0515,,5589.132239920856,0.0
period1,sc01,t0516,,6917.552317815636,0.0
period1,sc01,t0517,,6231.075187457508,0.0
period1,sc01,t0518,,7502.33749486407,0.0
period1,sc01,t0519,,8144.659526931916,0.0
period1,sc01,t0520,,5678.368815015241,0.0
period1,sc01,t0521,,3346.434250575174,0.0
period1,sc01,t0522,,3016.562408603733,0.0
period1,sc01,t0523,,3520.4258598968877,0.0
period1,sc01,t0524,,4927.029621238022,0.0
period1,sc01,t0525,,5461.47297565632,0.0
period1,sc01,t0526,,7247.12135045577,0.0
period1,sc01,t0527,,8211.968982929202,0.0
period1,sc01,t0528,,10834.584423724944,0.0
period1,sc01,t0529,,12580.720860088846,0.0
period1,sc01,t0530,,12664.856890411917,0.0
period1,sc01,t0531,,12084.425770985266,0.0
period1,sc01,t0532,,10662.814427913594,0.0
period1,sc01,t0533,,9795.851736210445,0.0
period1,sc01,t0534,,9953.226197875227,0.0
period1,sc01,t0535,,9977.815896279868,0.0
period1,sc01,t0536,,10628.43520998085,0.0
period1,sc01,t0537,,9522.20220108603,0.0
period1,sc01,t0538,,9972.614902880363,0.0
period1,sc01,t0539,,11317.712182673116,0.0
period1,sc01,t0540,,11160.735862140244,0.0
period1,sc01,t0541,,10503.682771328122,0.0
period1,sc01,t0542,,9778.45213411729,0.0
period1,sc01,t0543,,8098.902107236407,0.0
period1,sc01,t0544,,11532.975516517745,0.0
period1,sc01,t0545,,15153.803180386474,0.0
period1,sc01,t0546,,17584.912239198293,0.0
period1,sc01,t0547,,20730.857470170344,0.0
period1,sc01,t0548,,23681.11643809051,0.0
period1,sc01,t0549,,23923.20047309158,0.0
period1,sc01,t0550,,17707.957137410453,0.0
period1,sc01,t0551,,13042.762162937159,0.0
period1,sc01,t0552,,13308.004080099105,0.0
period1,sc01,t0553,,16177.720700451864,0.0
period1,sc01,t0554,,17355.972181648885,0.0
period1,sc01,t0555,,16349.197738887375,0.0
period1,sc01,t0556,,18877.867927623145,0.0
period1,sc01,t0557,,17993.836068380333,0.0
period1,sc01,t0558,,16691.919896003863,0.0
period1,sc01,t0559,,17615.481712373352,0.0
period1,sc01,t0560,,18278.0024746926,0.0
period1,sc01,t0561,,21915.74091850453,0.0
period1,sc01,t0562,,23859.888755758773,0.0
period1,sc01,t0563,,23667.435189463486,0.0
period1,sc01,t0564,,25523.38066514647,0.0
period1,sc01,t0565,,26131.60575855538,0.0
period1,sc01,t0566,,26737.937012627262,0.0
period1,sc01,t0567,,26938.965229754296,0.0
period1,sc01,t0568,,27000.0,0.0
period1,sc01,t0569,,27000.0,0.0
period1,sc01,t0570,,27000.0,0.0
period1,sc01,t0571,,27000.0,0.0
period1,sc01,t0572,,27000.0,0.0
period1,sc01,t0573,,27000.0,0.0
period1,sc01,t0574,,26977.874358645244,0.0
period1,sc01,t0575,,27000.0,0.0
period1,sc01,t0576,,27000.0,0.0
period1,sc01,t0577,,27000.0,0.0
period1,sc01,t0578,,26985.328893142905,0.0
period1,sc01,t0579,,27000.0,0.0
period1,sc01,t0580,,27000.0,0.0
period1,sc01,t0581,,26982.525879636403,0.0
period1,sc01,t0582,,26944.979090049397,0.0
period1,sc01,t0583,,26929.256524223914,0.0
period1,sc01,t0584,,26775.27844097001,0.0
period1,sc01,t0585,,26416.072706483388,0.0
period1,sc01,t0586,,25971.92324997189,0.0
