,,,BESS_01,Wind_01,FC_01
period1,sc01,t0369,1,0.5091991040874873,1.0
period1,sc01,t0370,1,0.4426046409123871,1.0
period1,sc01,t0371,1,0.28225682661046225,1.0
period1,sc01,t0372,1,0.2990527931342173,1.0
period1,sc01,t0373,1,0.31621351330145836,1.0
period1,sc01,t0374,1,0.31216634330704696,1.0
period1,sc01,t0375,1,0.3781088862543997,1.0
period1,sc01,t0376,1,0.39341086018758337,1.0
period1,sc01,t0377,1,0.40754078191819054,1.0
period1,sc01,t0378,1,0.44945847841272957,1.0
period1,sc01,t0379,1,0.45892113225314113,1.0
period1,sc01,t0380,1,0.4707702943266686,1.0
period1,sc01,t0381,1,0.5004364870143377,1.0
period1,sc01,t0382,1,0.5117697421552371,1.0
period1,sc01,t0383,1,0.36912924673903447,1.0
period1,sc01,t0384,1,0.4177504836282205,1.0
period1,sc01,t0385,1,0.4337053038860273,1.0
period1,sc01,t0386,1,0.44478709021637036,1.0
period1,sc01,t0387,1,0.4105987549845668,1.0
period1,sc01,t0388,1,0.3738099709579965,1.0
period1,sc01,t0389,1,0.34400212999369273,1.0
period1,sc01,t0390,1,0.34134493827278595,1.0
period1,sc01,t0391,1,0.3340029494921264,1.0
period1,sc01,t0392,1,0.35215548706097133,1.0
period1,sc01,t0393,1,0.3834625885009345,1.0
period1,sc01,t0394,1,0.4105076556535471,1.0
period1,sc01,t0395,1,0.2688678733630238,1.0
period1,sc01,t0396,1,0.40602153348398934,1.0
period1,sc01,t0397,1,0.3910242053006262,1.0
period1,sc01,t0398,1,0.4669923098446783,1.0
period1,sc01,t0399,1,0.4861585280741646,1.0
period1,sc01,t0400,1,0.5840335834274296,1.0
period1,sc01,t0401,1,0.6016383604696054,1.0
period1,sc01,t0402,1,0.6591904880725811,1.0
period1,sc01,t0403,1,0.6512137480590421,1.0
period1,sc01,t0404,1,0.7141824180774683,1.0
period1,sc01,t0405,1,0.7190461000819295,1.0
period1,sc01,t0406,1,0.7102379319017897,1.0
period1,sc01,t0407,1,0.4169557840612436,1.0
period1,sc01,t0408,1,0.47102155936299195,1.0
period1,sc01,t0409,1,0.48832965520436217,1.0
period1,sc01,t0410,1,0.4165977435052444,1.0
period1,sc01,t0411,1,0.3758330796764663,1.0
period1,sc01,t0412,1,0.3809199548498787,1.0
period1,sc01,t0413,1,0.35799530438592897,1.0
