,,,EleR_01,HydR_01
period1,sc01,t0308,0.045043097000000004,132.8052
period1,sc01,t0309,0.022355542000000003,132.8052
period1,sc01,t0310,0.017928702,132.8052
period1,sc01,t0311,0.0011067100000000001,132.8052
period1,sc01,t0312,0.0,132.8052
period1,sc01,t0313,0.0,132.8052
period1,sc01,t0314,-0.00022134200000000002,132.8052
period1,sc01,t0315,-0.001217381,132.8052
period1,sc01,t0316,0.0,132.8052
period1,sc01,t0317,0.011731126,132.8052
period1,sc01,t0318,0.020142122,132.8052
period1,sc01,t0319,0.036853443,132.8052
period1,sc01,t0320,0.21116026799999998,132.8052
period1,sc01,t0321,0.21237764900000003,132.8052
period1,sc01,t0322,0.188472713,132.8052
period1,sc01,t0323,0.211270939,132.8052
period1,sc01,t0324,0.21038557100000002,132.8052
period1,sc01,t0325,0.211824294,132.8052
period1,sc01,t0326,0.221009987,132.8052
period1,sc01,t0327,0.240488083,132.8052
period1,sc01,t0328,0.2656104,132.8052
period1,sc01,t0329,0.262068928,132.8052
period1,sc01,t0330,0.25941282400000004,132.8052
period1,sc01,t0331,0.26040886300000005,132.8052
period1,sc01,t0332,0.224219446,132.8052
period1,sc01,t0333,0.23794264999999998,132.8052
period1,sc01,t0334,0.264725032,132.8052
period1,sc01,t0335,0.243918884,132.8052
period1,sc01,t0336,0.247571027,132.8052
period1,sc01,t0337,0.249563105,132.8052
period1,sc01,t0338,0.252551222,132.8052
period1,sc01,t0339,0.378716162,132.8052
period1,sc01,t0340,0.394763457,132.8052
period1,sc01,t0341,0.5490388310000001,132.8052
period1,sc01,t0342,1.480667309,132.8052
period1,sc01,t0343,2.146353374,132.8052
period1,sc01,t0344,3.350785867,132.8052
period1,sc01,t0345,1.6922702609999998,132.8052
period1,sc01,t0346,1.1606067770000001,132.8052
period1,sc01,t0347,0.813653192,132.8052
period1,sc01,t0348,0.7235669979999999,132.8052
period1,sc01,t0349,0.70608098,132.8052
period1,sc01,t0350,0.352376464,132.8052
period1,sc01,t0351,0.341752048,132.8052
period1,sc01,t0352,0.40837598999999997,132.8052
period1,sc01,t0353,0.38458172500000004,132.8052
period1,sc01,t0354,0.280772327,132.8052
period1,sc01,t0355,0.25620336499999996,132.8052
period1,sc01,t0356,0.23041702200000003,132.8052
period1,sc01,t0357,0.219349922,132.8052
period1,sc01,t0358,0.065738574,132.8052
period1,sc01,t0359,0.0017707360000000002,132.8052
period1,sc01,t0360,-0.001217381,132.8052
period1,sc01,t0361,-0.002102749,132.8052
period1,sc01,t0362,-0.002102749,132.8052
period1,sc01,t0363,-0.001992078,132.8052
period1,sc01,t0364,-0.002102749,132.8052
period1,sc01,t0365,0.013501862,132.8052
period1,sc01,t0366,0.23318379700000003,132.8052
period1,sc01,t0367,0.275681461,132.8052
period1,sc01,t0368,0.44677882699999993,132.8052
period1,sc01,t0369,0.298590358,132.8052
period1,sc01,t0370,0.28243239200000003,132.8052
period1,sc01,t0371,0.272693344,132.8052
period1,sc01,t0372,0.269373214,132.8052
period1,sc01,t0373,0.24945243399999997,132.8052
period1,sc01,t0374,0.243697542,132.8052
period1,sc01,t0375,0.271475963,132.8052
period1,sc01,t0376,0.274685422,132.8052
period1,sc01,t0377,0.306115986,132.8052
period1,sc01,t0378,0.272914686,132.8052
period1,sc01,t0379,0.24845639499999997,132.8052
period1,sc01,t0380,0.23572922999999998,132.8052
period1,sc01,t0381,0.22643286600000004,132.8052
period1,sc01,t0382,0.18504191199999998,132.8052
period1,sc01,t0383,0.079904462,132.8052
period1,sc01,t0384,0.016379308,132.8052
period1,sc01,t0385,0.012505823,132.8052
period1,sc01,t0386,0.011399113,132.8052
period1,sc01,t0387,0.012727165,132.8052
period1,sc01,t0388,0.023794265,132.8052
period1,sc01,t0389,0.038402837,132.8052
period1,sc01,t0390,0.220899316,132.8052
period1,sc01,t0391,0.276013474,132.8052
period1,sc01,t0392,0.316187047,132.8052
period1,sc01,t0393,0.28619520600000004,132.8052
period1,sc01,t0394,0.26926254299999997,132.8052
period1,sc01,t0395,0.243033516,132.8052
period1,sc01,t0396,0.238053321,132.8052
period1,sc01,t0397,0.23462252,132.8052
period1,sc01,t0398,0.234954533,132.8052
period1,sc01,t0399,0.238717347,132.8052
period1,sc01,t0400,0.24281217400000002,132.8052
period1,sc01,t0401,0.24159479299999997,132.8052
period1,sc01,t0402,0.236171914,132.8052
period1,sc01,t0403,0.15626745199999997,132.8052
period1,sc01,t0404,0.028331776000000003,132.8052
period1,sc01,t0405,0.015051256,132.8052
period1,sc01,t0406,0.0,132.8052
period1,sc01,t0407,-0.0022134200000000002,132.8052
period1,sc01,t0408,-0.002102749,132.8052
period1,sc01,t0409,-0.002102749,132.8052
period1,sc01,t0410,-0.002102749,132.8052
period1,sc01,t0411,-0.001992078,132.8052
period1,sc01,t0412,0.00011067100000000001,132.8052
period1,sc01,t0413,0.021912858,132.8052
period1,sc01,t0414,0.21791119900000003,132.8052
period1,sc01,t0415,0.238053321,132.8052
period1,sc01,t0416,0.254764642,132.8052
period1,sc01,t0417,0.270258582,132.8052
period1,sc01,t0418,0.276788171,132.8052
period1,sc01,t0419,0.2766775,132.8052
period1,sc01,t0420,0.272914686,132.8052
period1,sc01,t0421,0.268709188,132.8052
period1,sc01,t0422,0.271586634,132.8052
period1,sc01,t0423,0.279222933,132.8052
period1,sc01,t0424,0.28619520600000004,132.8052
period1,sc01,t0425,0.287855271,132.8052
period1,sc01,t0426,0.28597386399999997,132.8052
period1,sc01,t0427,0.276013474,132.8052
period1,sc01,t0428,0.267049123,132.8052
period1,sc01,t0429,0.284535141,132.8052
period1,sc01,t0430,0.34252674499999997,132.8052
period1,sc01,t0431,0.24546827799999998,132.8052
period1,sc01,t0432,0.30102512,132.8052
period1,sc01,t0433,0.195223644,132.8052
period1,sc01,t0434,0.17386414100000003,132.8052
period1,sc01,t0435,0.18991143600000002,132.8052
period1,sc01,t0436,0.16855193300000001,132.8052
period1,sc01,t0437,0.191128817,132.8052
period1,sc01,t0438,0.204077324,132.8052
period1,sc01,t0439,0.240820096,132.8052
period1,sc01,t0440,0.247017672,132.8052
period1,sc01,t0441,0.261515573,132.8052
period1,sc01,t0442,0.269373214,132.8052
period1,sc01,t0443,0.272472002,132.8052
period1,sc01,t0444,0.273025357,132.8052
period1,sc01,t0445,0.27402139600000003,132.8052
period1,sc01,t0446,0.277673539,132.8052
period1,sc01,t0447,0.293388821,132.8052
period1,sc01,t0448,0.530446103,132.8052
period1,sc01,t0449,0.748025289,132.8052
period1,sc01,t0450,0.8562615270000001,132.8052
period1,sc01,t0451,0.776357065,132.8052
period1,sc01,t0452,0.423095233,132.8052
period1,sc01,t0453,0.320392545,132.8052
period1,sc01,t0454,0.298369016,132.8052
period1,sc01,t0455,0.28586319299999996,132.8052
period1,sc01,t0456,0.36377557699999996,132.8052
period1,sc01,t0457,0.350716399,132.8052
period1,sc01,t0458,0.360898131,132.8052
period1,sc01,t0459,0.3541472,132.8052
period1,sc01,t0460,0.370194495,132.8052
period1,sc01,t0461,0.550477554,132.8052
period1,sc01,t0462,0.9320711620000001,132.8052
period1,sc01,t0463,2.709004738,132.8052
period1,sc01,t0464,4.3535757980000005,132.8052
period1,sc01,t0465,3.069792198,132.8052
period1,sc01,t0466,2.529828389,132.8052
period1,sc01,t0467,2.023951248,132.8052
period1,sc01,t0468,1.894798191,132.8052
period1,sc01,t0469,1.84045873,132.8052
period1,sc01,t0470,2.0953340430000003,132.8052
period1,sc01,t0471,3.0410177379999994,132.8052
period1,sc01,t0472,3.614736202,132.8052
period1,sc01,t0473,3.5971395129999997,132.8052
period1,sc01,t0474,2.500721916,132.8052
period1,sc01,t0475,1.893802152,132.8052
period1,sc01,t0476,1.158282686,132.8052
period1,sc01,t0477,1.05358792,132.8052
period1,sc01,t0478,0.575931884,132.8052
period1,sc01,t0479,0.444565407,132.8052
period1,sc01,t0480,0.388233868,132.8052
period1,sc01,t0481,0.402621098,132.8052
period1,sc01,t0482,0.39719821899999996,132.8052
period1,sc01,t0483,0.384692396,132.8052
period1,sc01,t0484,0.40439183399999995,132.8052
period1,sc01,t0485,0.45740324299999996,132.8052
period1,sc01,t0486,0.5422879,132.8052
period1,sc01,t0487,1.241949962,132.8052
period1,sc01,t0488,1.770846671,132.8052
period1,sc01,t0489,1.659732987,132.8052
period1,sc01,t0490,1.618231362,132.8052
period1,sc01,t0491,1.241175265,132.8052
period1,sc01,t0492,1.155847924,132.8052
period1,sc01,t0493,1.090441363,132.8052
period1,sc01,t0494,1.083579761,132.8052
period1,sc01,t0495,1.2017763890000002,132.8052
period1,sc01,t0496,1.33801239,132.8052
period1,sc01,t0497,1.732333163,132.8052
period1,sc01,t0498,1.4381696449999999,132.8052
period1,sc01,t0499,0.961066964,132.8052
period1,sc01,t0500,0.675867797,132.8052
period1,sc01,t0501,0.624627124,132.8052
period1,sc01,t0502,0.49359266,132.8052
period1,sc01,t0503,0.338210576,132.8052
period1,sc01,t0504,0.37207590199999996,132.8052
period1,sc01,t0505,0.348945663,132.8052
period1,sc01,t0506,0.33500111699999996,132.8052
period1,sc01,t0507,0.342084061,132.8052
period1,sc01,t0508,0.35115908300000004,132.8052
period1,sc01,t0509,0.413577527,132.8052
period1,sc01,t0510,0.754665549,132.8052
period1,sc01,t0511,1.6633851300000002,132.8052
period1,sc01,t0512,1.747937774,132.8052
period1,sc01,t0513,2.010449386,132.8052
period1,sc01,t0514,1.9202525209999999,132.8052
period1,sc01,t0515,1.8546246180000001,132.8052
period1,sc01,t0516,1.773170762,132.8052
period1,sc01,t0517,1.8268461969999998,132.8052
period1,sc01,t0518,1.93342237,132.8052
period1,sc01,t0519,2.1026383290000004,132.8052
period1,sc01,t0520,2.138938417,132.8052
period1,sc01,t0521,2.245846603,132.8052
period1,sc01,t0522,1.9388452489999999,132.8052
period1,sc01,t0523,1.7954156329999997,132.8052
period1,sc01,t0524,1.4386123290000001,132.8052
period1,sc01,t0525,1.370328322,132.8052
period1,sc01,t0526,1.146330218,132.8052
period1,sc01,t0527,0.647536021,132.8052
period1,sc01,t0528,0.547378766,132.8052
period1,sc01,t0529,0.436707766,132.8052
period1,sc01,t0530,0.419000406,132.8052
period1,sc01,t0531,0.419000406,132.8052
period1,sc01,t0532,0.41866839299999997,132.8052
period1,sc01,t0533,0.422099194,132.8052
period1,sc01,t0534,1.001461879,132.8052
period1,sc01,t0535,1.479892612,132.8052
period1,sc01,t0536,1.7181672749999999,132.8052
period1,sc01,t0537,1.559465061,132.8052
period1,sc01,t0538,1.282234206,132.8052
period1,sc01,t0539,1.212179463,132.8052
period1,sc01,t0540,1.0256988280000001,132.8052
period1,sc01,t0541,0.935280621,132.8052
period1,sc01,t0542,0.808562326,132.8052
period1,sc01,t0543,0.721353578,132.8052
period1,sc01,t0544,0.9210040620000001,132.8052
period1,sc01,t0545,0.987517333,132.8052
period1,sc01,t0546,0.89975523,132.8052
period1,sc01,t0547,0.757653666,132.8052
period1,sc01,t0548,0.596848703,132.8052
period1,sc01,t0549,0.44578278800000004,132.8052
period1,sc01,t0550,0.291950098,132.8052
period1,sc01,t0551,0.280661656,132.8052
period1,sc01,t0552,0.267491807,132.8052
period1,sc01,t0553,0.262954296,132.8052
period1,sc01,t0554,0.261294231,132.8052
period1,sc01,t0555,0.260519534,132.8052
period1,sc01,t0556,0.25919148200000003,132.8052
period1,sc01,t0557,0.273468041,132.8052
period1,sc01,t0558,0.30976812899999995,132.8052
period1,sc01,t0559,0.6271725570000001,132.8052
period1,sc01,t0560,0.7628552030000001,132.8052
period1,sc01,t0561,0.6043743309999999,132.8052
period1,sc01,t0562,0.522145778,132.8052
period1,sc01,t0563,0.46669960699999996,132.8052
period1,sc01,t0564,0.407047938,132.8052
period1,sc01,t0565,0.39620217999999996,132.8052
period1,sc01,t0566,0.343301442,132.8052
period1,sc01,t0567,0.31762577,132.8052
period1,sc01,t0568,0.314526982,132.8052
period1,sc01,t0569,0.286416548,132.8052
period1,sc01,t0570,0.269373214,132.8052
period1,sc01,t0571,0.245800291,132.8052
period1,sc01,t0572,0.235507888,132.8052
period1,sc01,t0573,0.19146083,132.8052
period1,sc01,t0574,0.07924043600000001,132.8052
period1,sc01,t0575,0.043051019,132.8052
period1,sc01,t0576,0.031209222000000002,132.8052
period1,sc01,t0577,0.024679632999999996,132.8052
period1,sc01,t0578,0.011288442000000001,132.8052
period1,sc01,t0579,0.008189654,132.8052
period1,sc01,t0580,0.007525628,132.8052
period1,sc01,t0581,0.004537511,132.8052
period1,sc01,t0582,0.011509784000000002,132.8052
