,,,EleD_01,HydD1,EleD_02
period1,sc01,t6832, 1.04 ,, 0.83 
period1,sc01,t6833, 4.15 ,, 1.92 
period1,sc01,t6834, 2.74 ,, 2.21 
period1,sc01,t6835, 1.97 ,, 1.44 
period1,sc01,t6836, 1.98 ,, 1.86 
period1,sc01,t6837, 2.48 ,, 1.55 
period1,sc01,t6838, 1.76 ,, 1.38 
period1,sc01,t6839, 0.99 ,, 1.01 
period1,sc01,t6840, 1.84 ,, 0.98 
period1,sc01,t6841, 2.17 ,, 1.25 
period1,sc01,t6842, 3.92 ,, 0.95 
period1,sc01,t6843, 2.22 ,, 1.05 
period1,sc01,t6844, 3.78 ,, 1.29 
period1,sc01,t6845, 2.01 ,, 0.93 
period1,sc01,t6846, 2.09 ,, 0.95 
period1,sc01,t6847, 2.26 ,, 1.62 
period1,sc01,t6848, 1.35 ,, 1.3 
period1,sc01,t6849, 1.21 ,, 1.1 
period1,sc01,t6850, 1.65 ,, 0.91 
period1,sc01,t6851, 1.99 ,, 1.19 
period1,sc01,t6852, 0.41 ,, 0.81 
period1,sc01,t6853, 1.01 ,, 1.16 
period1,sc01,t6854, 0.8 ,, 1.26 
period1,sc01,t6855, 2.93 ,, 0.91 
period1,sc01,t6856, 1.28 ,, 0.89 
period1,sc01,t6857, 1.34 ,, 1.4 
period1,sc01,t6858, 1.58 ,, 1.19 
period1,sc01,t6859, 1.69 ,, 1.87 
period1,sc01,t6860, 2.64 ,, 3.03 
period1,sc01,t6861, 2.02 ,, 1.4 
period1,sc01,t6862, 1.81 ,, 1.51 
period1,sc01,t6863, 2.07 ,, 1.09 
period1,sc01,t6864, 1.45 ,, 1.29 
period1,sc01,t6865, 1.29 ,, 1.11 
period1,sc01,t6866, 4.64 ,, 1.07 
period1,sc01,t6867, 2.15 ,, 1.36 
period1,sc01,t6868, 1.75 ,, 1.14 
period1,sc01,t6869, 1.76 ,, 1.23 
period1,sc01,t6870, 1.81 ,, 1.53 
period1,sc01,t6871, 2.3 ,, 2.05 
period1,sc01,t6872, 2.12 ,, 1.58 
period1,sc01,t6873, 2.3 ,, 1.19 
period1,sc01,t6874, 3.27 ,, 1.52 
period1,sc01,t6875, 5.35 ,, 1.16 
period1,sc01,t6876, 3.25 ,, 1.19 
period1,sc01,t6877, 7.69 ,, 1.43 
period1,sc01,t6878, 3.77 ,, 0.95 
period1,sc01,t6879, 3.52 ,, 1.08 
period1,sc01,t6880, 1.26 ,, 1.24 
period1,sc01,t6881, 0.72 ,, 1.15 
period1,sc01,t6882, 2.65 ,, 1.61 
period1,sc01,t6883, 5.63 ,, 1.96 
period1,sc01,t6884, 5.63 ,, 1.54 
period1,sc01,t6885, 3.24 ,, 1.82 
period1,sc01,t6886, 3.74 ,, 1.39 
period1,sc01,t6887, 6.12 ,, 1.43 
period1,sc01,t6888, 2.69 ,, 1.7 
period1,sc01,t6889, 3.62 ,, 1.35 
period1,sc01,t6890, 5 ,, 1.65 
period1,sc01,t6891, 4.79 ,, 1.22 
period1,sc01,t6892, 2.73 ,, 1.43 
period1,sc01,t6893, 3.43 ,, 1.67 
period1,sc01,t6894, 3.94 ,, 1.36 
period1,sc01,t6895, 2.97 ,, 1.74 
period1,sc01,t6896, 2.36 ,, 1.78 
period1,sc01,t6897, 3.98 ,, 1.32 
period1,sc01,t6898, 2.23 ,, 1.66 
period1,sc01,t6899, 2.34 ,, 1.26 
period1,sc01,t6900, 1.58 ,, 1.2 
period1,sc01,t6901, 0.29 ,, 1.49 
period1,sc01,t6902, 1.01 ,, 1.21 
period1,sc01,t6903, 1.17 ,, 1.09 
period1,sc01,t6904, 1.52 ,, 1.48 
period1,sc01,t6905, 2.33 ,, 1.48 
period1,sc01,t6906, 2.41 ,, 2.67 
period1,sc01,t6907, 4.21 ,, 4.49 
period1,sc01,t6908, 5.76 ,, 2.22 
period1,sc01,t6909, 4.25 ,, 1.72 
period1,sc01,t6910, 3.1 ,, 2.01 
period1,sc01,t6911, 2.39 ,, 1.53 
period1,sc01,t6912, 2.7 ,, 1.58 
period1,sc01,t6913, 2.83 ,, 1.27 
period1,sc01,t6914, 3.16 ,, 1.63 
period1,sc01,t6915, 2.74 ,, 1.34 
period1,sc01,t6916, 2.96 ,, 1.27 
period1,sc01,t6917, 5.09 ,, 1.6 
period1,sc01,t6918, 3.31 ,, 1.21 
period1,sc01,t6919, 5.62 ,, 1.64 
period1,sc01,t6920, 4.13 ,, 1.41 
period1,sc01,t6921, 4.09 ,, 1.78 
period1,sc01,t6922, 4.06 ,, 1.45 
period1,sc01,t6923, 2.59 ,, 2.43 
period1,sc01,t6924, 0.65 ,, 1.82 
period1,sc01,t6925, 0.38 ,, 1.65 
period1,sc01,t6926, 1.75 ,, 1.96 
period1,sc01,t6927, 1.73 ,, 2.04 
period1,sc01,t6928, 4.39 ,, 1.88 
period1,sc01,t6929, 2.5 ,, 4.09 
period1,sc01,t6930, 3.36 ,, 5.44 
period1,sc01,t6931, 4.41 ,, 6.33 
period1,sc01,t6932, 2.96 ,, 4.47 
period1,sc01,t6933, 2.67 ,, 1.66 
period1,sc01,t6934, 2.54 ,, 1.84 
period1,sc01,t6935, 2.81 ,, 1.78 
period1,sc01,t6936, 2.67 ,, 1.3 
period1,sc01,t6937, 2.34 ,, 1.65 
period1,sc01,t6938, 3.24 ,, 1.25 
period1,sc01,t6939, 4.12 ,, 1.26 
period1,sc01,t6940, 2.37 ,, 1.4 
period1,sc01,t6941, 3.04 ,, 1.11 
period1,sc01,t6942, 2.5 ,, 1.1 
period1,sc01,t6943, 3.5 ,, 1.3 
period1,sc01,t6944, 4.22 ,, 1.17 
period1,sc01,t6945, 3.31 ,, 1.54 
period1,sc01,t6946, 1.37 ,, 1.22 
period1,sc01,t6947, 2.6 ,, 1.87 
period1,sc01,t6948, 4.11 ,, 1.86 
period1,sc01,t6949, 1.77 ,, 1.46 
period1,sc01,t6950, 3.13 ,, 1.45 
period1,sc01,t6951, 1.1 ,, 1.5 
period1,sc01,t6952, 1.25 ,, 1.84 
period1,sc01,t6953, 1.71 ,, 2.09 
period1,sc01,t6954, 3.45 ,, 2.64 
period1,sc01,t6955, 3.16 ,, 2.82 
period1,sc01,t6956, 2.44 ,, 2.98 
period1,sc01,t6957, 2.5 ,, 2.53 
period1,sc01,t6958, 2.14 ,, 1.52 
period1,sc01,t6959, 2.19 ,, 1.54 
period1,sc01,t6960, 3.88 ,, 1.37 
period1,sc01,t6961, 3.21 ,, 1.44 
period1,sc01,t6962, 3.65 ,, 1.53 
period1,sc01,t6963, 4.02 ,, 1.27 
period1,sc01,t6964, 4.29 ,, 1.33 
period1,sc01,t6965, 4.35 ,, 1.6 
period1,sc01,t6966, 2.11 ,, 1.25 
period1,sc01,t6967, 2.16 ,, 2.28 
period1,sc01,t6968, 2.44 ,, 1.62 
period1,sc01,t6969, 2.68 ,, 1.37 
period1,sc01,t6970, 3.26 ,, 1.31 
period1,sc01,t6971, 2.77 ,, 1.66 
period1,sc01,t6972, 4.03 ,, 1.29 
period1,sc01,t6973, 2.35 ,, 1.34 
period1,sc01,t6974, 3.07 ,, 1.53 
period1,sc01,t6975, 2.21 ,, 1.33 
period1,sc01,t6976, 2.05 ,, 1.31 
period1,sc01,t6977, 2.2 ,, 1.5 
period1,sc01,t6978, 3.82 ,, 1.39 
period1,sc01,t6979, 3.52 ,, 1.67 
period1,sc01,t6980, 3.51 ,, 1.3 
period1,sc01,t6981, 5.69 ,, 1.84 
period1,sc01,t6982, 3.65 ,, 1.71 
period1,sc01,t6983, 3.24 ,, 1.98 
period1,sc01,t6984, 1.99 ,, 1.58 
period1,sc01,t6985, 2.62 ,, 1.79 
period1,sc01,t6986, 1.95 ,, 1.94 
period1,sc01,t6987, 1.95 ,, 1.8 
period1,sc01,t6988, 1.98 ,, 1.95 
period1,sc01,t6989, 2.47 ,, 1.79 
period1,sc01,t6990, 3.9 ,, 1.99 
period1,sc01,t6991, 9.48 ,, 1.69 
period1,sc01,t6992, 10.67 ,, 2.89 
period1,sc01,t6993, 3.04 ,, 1.82 
period1,sc01,t6994, 1.02 ,, 2.29 
period1,sc01,t6995, 1.66 ,, 1.63 
period1,sc01,t6996, 1.35 ,, 2.18 
period1,sc01,t6997, 0.78 ,, 1.65 
period1,sc01,t6998, 1.47 ,, 1.54 
period1,sc01,t6999, 1.49 ,, 1.69 
period1,sc01,t7000, 4.25 ,, 1.54 
period1,sc01,t7001, 1.58 ,, 1.8 
period1,sc01,t7002, 1.77 ,, 1.53 
period1,sc01,t7003, 3.16 ,, 2.42 
period1,sc01,t7004, 3.26 ,, 2.32 
period1,sc01,t7005, 1.65 ,, 2.47 
period1,sc01,t7006, 1.63 ,, 2.32 
period1,sc01,t7007, 1.6 ,, 1.53 
period1,sc01,t7008, 1.95 ,, 1.45 
period1,sc01,t7009, 1.66 ,, 1.22 
period1,sc01,t7010, 3.03 ,, 0.98 
period1,sc01,t7011, 1.78 ,, 1.37 
period1,sc01,t7012, 1.73 ,, 1.21 
period1,sc01,t7013, 3.84 ,, 1.25 
period1,sc01,t7014, 1.88 ,, 1.36 
period1,sc01,t7015, 2.35 ,, 2.45 
period1,sc01,t7016, 1.2 ,, 1.56 
period1,sc01,t7017, 1.59 ,, 0.98 
period1,sc01,t7018, 1.7 ,, 1.06 
period1,sc01,t7019, 1.75 ,, 1.27 
period1,sc01,t7020, 1.19 ,, 1.21 
period1,sc01,t7021, 0.31 ,, 1.37 
period1,sc01,t7022, 1.07 ,, 0.99 
period1,sc01,t7023, 0.78 ,, 0.96 
period1,sc01,t7024, 2.6 ,, 1.65 
period1,sc01,t7025, 1.61 ,, 1.46 
period1,sc01,t7026, 1.63 ,, 1.48 
period1,sc01,t7027, 2.48 ,, 1.55 
period1,sc01,t7028, 1.82 ,, 1.88 
period1,sc01,t7029, 2.1 ,, 1.45 
period1,sc01,t7030, 1.64 ,, 1.55 
period1,sc01,t7031, 2 ,, 1.04 
period1,sc01,t7032, 1.09 ,, 1.19 
period1,sc01,t7033, 1.44 ,, 0.93 
period1,sc01,t7034, 1.6 ,, 0.98 
period1,sc01,t7035, 4.09 ,, 1.28 
period1,sc01,t7036, 1.93 ,, 1 
period1,sc01,t7037, 1.12 ,, 1.37 
period1,sc01,t7038, 1.47 ,, 1.17 
period1,sc01,t7039, 2.35 ,, 1.86 
period1,sc01,t7040, 2.29 ,, 1.65 
period1,sc01,t7041, 1.7 ,, 1.36 
period1,sc01,t7042, 2.86 ,, 1.1 
period1,sc01,t7043, 2.48 ,, 1.24 
period1,sc01,t7044, 1.77 ,, 1.36 
period1,sc01,t7045, 1.63 ,, 1.13 
period1,sc01,t7046, 2.33 ,, 1.16 
period1,sc01,t7047, 1.42 ,, 1.32 
period1,sc01,t7048, 2.47 ,, 1.01 
period1,sc01,t7049, 4.44 ,, 2.13 
period1,sc01,t7050, 5.13 ,, 1.51 
period1,sc01,t7051, 5.62 ,, 2.05 
period1,sc01,t7052, 1.91 ,, 1.78 
period1,sc01,t7053, 1.99 ,, 2.19 
period1,sc01,t7054, 2.02 ,, 1.49 
period1,sc01,t7055, 1.67 ,, 0.95 
period1,sc01,t7056, 4.72 ,, 1.27 
period1,sc01,t7057, 1.93 ,, 1.01 
period1,sc01,t7058, 4.11 ,, 1.19 
period1,sc01,t7059, 2.92 ,, 1.11 
period1,sc01,t7060, 2.2 ,, 1.11 
period1,sc01,t7061, 2.04 ,, 1.31 
period1,sc01,t7062, 2.82 ,, 0.99 
period1,sc01,t7063, 2.39 ,, 2.14 
period1,sc01,t7064, 2.94 ,, 1.01 
period1,sc01,t7065, 1.75 ,, 1.45 
period1,sc01,t7066, 1.51 ,, 1 
period1,sc01,t7067, 3.13 ,, 1.53 
period1,sc01,t7068, 2.45 ,, 1.09 
period1,sc01,t7069, 1.15 ,, 1.12 
period1,sc01,t7070, 1.14 ,, 1.31 
period1,sc01,t7071, 1.15 ,, 1.26 
period1,sc01,t7072, 1.43 ,, 1.01 
period1,sc01,t7073, 1.96 ,, 1.43 
period1,sc01,t7074, 2.13 ,, 1.54 
period1,sc01,t7075, 2.56 ,, 1.79 
period1,sc01,t7076, 2.71 ,, 0.98 
period1,sc01,t7077, 2.55 ,, 1.34 
period1,sc01,t7078, 5.05 ,, 2 
period1,sc01,t7079, 2.33 ,, 1.8 
period1,sc01,t7080, 2.57 ,, 1.5 
period1,sc01,t7081, 2.2 ,, 1.35 
period1,sc01,t7082, 2.09 ,, 1.71 
period1,sc01,t7083, 2.09 ,, 1.41 
period1,sc01,t7084, 2.28 ,, 1.66 
period1,sc01,t7085, 2.02 ,, 1.42 
period1,sc01,t7086, 2.06 ,, 1.27 
period1,sc01,t7087, 2.48 ,, 1.74 
period1,sc01,t7088, 4.32 ,, 1.39 
period1,sc01,t7089, 2.26 ,, 2.11 
period1,sc01,t7090, 3.01 ,, 1.79 
period1,sc01,t7091, 3.26 ,, 1.39 
period1,sc01,t7092, 5.18 ,, 3.42 
period1,sc01,t7093, 5.05 ,, 1.67 
period1,sc01,t7094, 3.68 ,, 1.57 
period1,sc01,t7095, 4.78 ,, 1.78 
period1,sc01,t7096, 3.85 ,, 1.24 
period1,sc01,t7097, 7.07 ,, 1.69 
period1,sc01,t7098, 7.82 ,, 2.03 
period1,sc01,t7099, 6.35 ,, 1.69 
period1,sc01,t7100, 2.71 ,, 1.87 
period1,sc01,t7101, 3.35 ,, 1.89 
period1,sc01,t7102, 3.7 ,, 2.32 
period1,sc01,t7103, 3.86 ,, 1.34 
period1,sc01,t7104, 1.08 ,, 1.69 
period1,sc01,t7105, 1.48 ,, 1.32 
period1,sc01,t7106, 2.77 ,, 1.71 
period1,sc01,t7107, 2.24 ,, 1.37 
period1,sc01,t7108, 4 ,, 1.4 
period1,sc01,t7109, 3.83 ,, 1.6 
period1,sc01,t7110, 2.27 ,, 1.39 
period1,sc01,t7111, 2.02 ,, 1.29 
period1,sc01,t7112, 1.92 ,, 1.7 
period1,sc01,t7113, 1.86 ,, 1.39 
period1,sc01,t7114, 2.28 ,, 1.89 
period1,sc01,t7115, 2.02 ,, 2.58 
period1,sc01,t7116, 1.36 ,, 1.72 
period1,sc01,t7117, 1.05 ,, 2.14 
period1,sc01,t7118, 1.58 ,, 1.83 
period1,sc01,t7119, 3.92 ,, 2.34 
period1,sc01,t7120, 1.8 ,, 2.59 
period1,sc01,t7121, 2.49 ,, 2.15 
period1,sc01,t7122, 3.51 ,, 2.09 
period1,sc01,t7123, 2.9 ,, 4.48 
period1,sc01,t7124, 3.57 ,, 1.91 
period1,sc01,t7125, 2.33 ,, 1.48 
period1,sc01,t7126, 1.98 ,, 1.64 
period1,sc01,t7127, 1.84 ,, 1.55 
period1,sc01,t7128, 1.81 ,, 1.48 
period1,sc01,t7129, 2.28 ,, 1.59 
period1,sc01,t7130, 5.55 ,, 1.9 
period1,sc01,t7131, 5.46 ,, 1.61 
period1,sc01,t7132, 4.06 ,, 1.69 
period1,sc01,t7133, 4.17 ,, 2.11 
period1,sc01,t7134, 4.35 ,, 1.86 
period1,sc01,t7135, 1.65 ,, 1.78 
period1,sc01,t7136, 1.7 ,, 2.1 
period1,sc01,t7137, 3.09 ,, 1.68 
period1,sc01,t7138, 2.13 ,, 2.11 
period1,sc01,t7139, 3.2 ,, 1.88 
period1,sc01,t7140, 2.57 ,, 2.55 
period1,sc01,t7141, 1.62 ,, 5.45 
period1,sc01,t7142, 1.14 ,, 4.55 
period1,sc01,t7143, 2.62 ,, 3.45 
period1,sc01,t7144, 1.33 ,, 1.38 
period1,sc01,t7145, 1.94 ,, 1.55 
period1,sc01,t7146, 3.43 ,, 2.07 
period1,sc01,t7147, 3.81 ,, 1.58 
period1,sc01,t7148, 4.44 ,, 2.02 
period1,sc01,t7149, 3.68 ,, 1.6 
period1,sc01,t7150, 2.09 ,, 1.95 
period1,sc01,t7151, 3.73 ,, 1.81 
period1,sc01,t7152, 1.75 ,, 1.32 
period1,sc01,t7153, 1.757959184 ,, 1.52 
period1,sc01,t7154, 1.765918367 ,, 1.22 
period1,sc01,t7155, 1.773877551 ,, 1.44 
period1,sc01,t7156, 1.781836735 ,, 1.11 
period1,sc01,t7157, 1.789795918 ,, 1.45 
period1,sc01,t7158, 1.797755102 ,, 0.99 
period1,sc01,t7159, 1.805714286 ,, 1.32 
period1,sc01,t7160, 1.813673469 ,, 1.13 
period1,sc01,t7161, 1.821632653 ,, 1.12 
period1,sc01,t7162, 1.829591837 ,, 1.54 
period1,sc01,t7163, 1.83755102 ,, 1.3 
period1,sc01,t7164, 1.845510204 ,, 0.96 
period1,sc01,t7165, 1.853469388 ,, 1.39 
period1,sc01,t7166, 1.861428571 ,, 1.11 
period1,sc01,t7167, 1.869387755 ,, 1.24 
period1,sc01,t7168, 1.877346939 ,, 1.12 
period1,sc01,t7169, 1.885306122 ,, 1.53 
period1,sc01,t7170, 1.893265306 ,, 1.35 
period1,sc01,t7171, 1.90122449 ,, 1.38 
period1,sc01,t7172, 1.909183673 ,, 1.49 
period1,sc01,t7173, 1.917142857 ,, 1.09 
period1,sc01,t7174, 1.925102041 ,, 1.34 
period1,sc01,t7175, 1.933061224 ,, 1.09 
period1,sc01,t7176, 1.941020408 ,, 1 
period1,sc01,t7177, 1.948979592 ,, 1.15 
period1,sc01,t7178, 1.956938776 ,, 0.92 
period1,sc01,t7179, 1.964897959 ,, 1.29 
period1,sc01,t7180, 1.972857143 ,, 0.91 
period1,sc01,t7181, 1.980816327 ,, 0.99 
period1,sc01,t7182, 1.98877551 ,, 1.49 
period1,sc01,t7183, 1.996734694 ,, 1.73 
period1,sc01,t7184, 2.004693878 ,, 1.78 
period1,sc01,t7185, 2.012653061 ,, 2.14 
period1,sc01,t7186, 2.020612245 ,, 1.73 
period1,sc01,t7187, 2.028571429 ,, 3.59 
period1,sc01,t7188, 2.036530612 ,, 4.93 
period1,sc01,t7189, 2.044489796 ,, 4.67 
period1,sc01,t7190, 2.05244898 ,, 4.33 
period1,sc01,t7191, 2.060408163 ,, 1.75 
period1,sc01,t7192, 2.068367347 ,, 4.26 
period1,sc01,t7193, 2.076326531 ,, 1.53 
period1,sc01,t7194, 2.084285714 ,, 2.03 
period1,sc01,t7195, 2.092244898 ,, 1.52 
period1,sc01,t7196, 2.100204082 ,, 2.17 
period1,sc01,t7197, 2.108163265 ,, 1.54 
period1,sc01,t7198, 2.116122449 ,, 1.82 
period1,sc01,t7199, 2.124081633 ,, 2.12 
period1,sc01,t7200, 2.132040816 ,, 1.46 
period1,sc01,t7201, 2.14 ,, 1.7 
period1,sc01,t7202, 1.78 ,, 1.48 
period1,sc01,t7203, 1.74 ,, 1.46 
period1,sc01,t7204, 2.21 ,, 1.21 
period1,sc01,t7205, 1.42 ,, 1.02 
period1,sc01,t7206, 3.73 ,, 1.29 
period1,sc01,t7207, 2.06 ,, 1.07 
period1,sc01,t7208, 1.29 ,, 1.02 
period1,sc01,t7209, 3.29 ,, 1.51 
period1,sc01,t7210, 2.97 ,, 2.92 
period1,sc01,t7211, 2.91 ,, 3.7 
period1,sc01,t7212, 2.97 ,, 4.65 
period1,sc01,t7213, 1.65 ,, 4.64 
period1,sc01,t7214, 3.33 ,, 1.8 
period1,sc01,t7215, 4.17 ,, 1.28 
period1,sc01,t7216, 1.75 ,, 1.47 
period1,sc01,t7217, 3.57 ,, 1.7 
period1,sc01,t7218, 3.88 ,, 1.79 
period1,sc01,t7219, 3.95 ,, 2.44 
period1,sc01,t7220, 1.47 ,, 1.73 
period1,sc01,t7221, 1.95 ,, 1.74 
period1,sc01,t7222, 2.05 ,, 1.59 
period1,sc01,t7223, 0.97 ,, 1.14 
period1,sc01,t7224, 1.64 ,, 1.28 
period1,sc01,t7225, 0.9 ,, 1.02 
period1,sc01,t7226, 3.18 ,, 1.21 
period1,sc01,t7227, 3.66 ,, 1.07 
period1,sc01,t7228, 1.46 ,, 1.35 
period1,sc01,t7229, 1.23 ,, 1.39 
period1,sc01,t7230, 2.11 ,, 1.26 
period1,sc01,t7231, 3.4 ,, 1.75 
period1,sc01,t7232, 1.68 ,, 1.44 
period1,sc01,t7233, 1.01 ,, 2.52 
period1,sc01,t7234, 1.45 ,, 2.65 
period1,sc01,t7235, 1.55 ,, 3.74 
period1,sc01,t7236, 1.43 ,, 2.92 
period1,sc01,t7237, 2.65 ,, 2.18 
period1,sc01,t7238, 0.69 ,, 1.21 
period1,sc01,t7239, 0.91 ,, 1.24 
period1,sc01,t7240, 1.44 ,, 1.34 
period1,sc01,t7241, 1.43 ,, 2.24 
period1,sc01,t7242, 1.72 ,, 2.26 
period1,sc01,t7243, 2.2 ,, 2.83 
period1,sc01,t7244, 4.57 ,, 1.7 
period1,sc01,t7245, 5.01 ,, 2.32 
period1,sc01,t7246, 4.08 ,, 4.73 
period1,sc01,t7247, 3.58 ,, 4.55 
period1,sc01,t7248, 4.09 ,, 3.17 
period1,sc01,t7249, 2.57 ,, 1.99 
period1,sc01,t7250, 2.24 ,, 2.24 
period1,sc01,t7251, 2.1 ,, 1.96 
period1,sc01,t7252, 2.17 ,, 1.48 
period1,sc01,t7253, 2.51 ,, 1.46 
period1,sc01,t7254, 2.14 ,, 1.08 
period1,sc01,t7255, 2.32 ,, 1.21 
period1,sc01,t7256, 2.72 ,, 1.26 
period1,sc01,t7257, 2.99 ,, 2.23 
period1,sc01,t7258, 3.23 ,, 3.4 
period1,sc01,t7259, 4.73 ,, 2.58 
period1,sc01,t7260, 3.49 ,, 3.29 
period1,sc01,t7261, 2.45 ,, 1.66 
period1,sc01,t7262, 1 ,, 1.88 
period1,sc01,t7263, 3.44 ,, 1.87 
period1,sc01,t7264, 6.07 ,, 1.62 
period1,sc01,t7265, 4.12 ,, 1.34 
period1,sc01,t7266, 4.86 ,, 1.82 
period1,sc01,t7267, 4.64 ,, 2.13 
period1,sc01,t7268, 4.53 ,, 2.45 
period1,sc01,t7269, 5.86 ,, 2 
period1,sc01,t7270, 1.39 ,, 1.88 
period1,sc01,t7271, 1.86 ,, 1.47 
period1,sc01,t7272, 2.33 ,, 1.73 
period1,sc01,t7273, 2.32 ,, 1.1 
period1,sc01,t7274, 2.25 ,, 1.48 
period1,sc01,t7275, 2.34 ,, 1.07 
period1,sc01,t7276, 2.53 ,, 1.08 
period1,sc01,t7277, 2.84 ,, 1.3 
period1,sc01,t7278, 2.39 ,, 1.13 
period1,sc01,t7279, 5.74 ,, 1.07 
period1,sc01,t7280, 3.48 ,, 1.3 
period1,sc01,t7281, 2.86 ,, 1.65 
period1,sc01,t7282, 3.09 ,, 3.13 
period1,sc01,t7283, 1.62 ,, 3.03 
period1,sc01,t7284, 0.73 ,, 3.22 
period1,sc01,t7285, 0.85 ,, 1.63 
period1,sc01,t7286, 0.75 ,, 1.44 
period1,sc01,t7287, 2.32 ,, 2.97 
period1,sc01,t7288, 2.63 ,, 2.33 
period1,sc01,t7289, 3.16 ,, 2.61 
period1,sc01,t7290, 2.81 ,, 1.71 
period1,sc01,t7291, 6.36 ,, 1.67 
period1,sc01,t7292, 3.53 ,, 1.44 
period1,sc01,t7293, 2.18 ,, 2.93 
period1,sc01,t7294, 2.05 ,, 2.97 
period1,sc01,t7295, 2.24 ,, 2.35 
period1,sc01,t7296, 2.37 ,, 1.58 
period1,sc01,t7297, 2.5 ,, 1.44 
period1,sc01,t7298, 2.11 ,, 1.78 
period1,sc01,t7299, 4.17 ,, 1.54 
period1,sc01,t7300, 3.33 ,, 1.45 
period1,sc01,t7301, 2.88 ,, 1.88 
period1,sc01,t7302, 5.87 ,, 1.46 
period1,sc01,t7303, 4.67 ,, 1.29 
period1,sc01,t7304, 4 ,, 1.36 
period1,sc01,t7305, 4.23 ,, 1.83 
period1,sc01,t7306, 2.26 ,, 2.38 
period1,sc01,t7307, 2.09 ,, 2.57 
period1,sc01,t7308, 1.59 ,, 1.68 
period1,sc01,t7309, 0.39 ,, 1.49 
period1,sc01,t7310, 1.2 ,, 1.32 
period1,sc01,t7311, 1.14 ,, 2.45 
period1,sc01,t7312, 1.37 ,, 1.74 
period1,sc01,t7313, 5.89 ,, 1.33 
period1,sc01,t7314, 4.07 ,, 2.67 
period1,sc01,t7315, 3.38 ,, 3.13 
period1,sc01,t7316, 2.8 ,, 1.3 
period1,sc01,t7317, 1.98 ,, 3.42 
period1,sc01,t7318, 1.84 ,, 2.53 
period1,sc01,t7319, 1.73 ,, 1.75 
period1,sc01,t7320, 2.29 ,, 1.6 
period1,sc01,t7321, 1.84 ,, 1.73 
period1,sc01,t7322, 1.59 ,, 1.03 
period1,sc01,t7323, 3.06 ,, 1.19 
period1,sc01,t7324, 2.31 ,, 0.96 
period1,sc01,t7325, 3.26 ,, 0.96 
period1,sc01,t7326, 1.65 ,, 0.99 
period1,sc01,t7327, 2.46 ,, 1.21 
period1,sc01,t7328, 2.83 ,, 1 
period1,sc01,t7329, 1.7 ,, 1.08 
period1,sc01,t7330, 1.52 ,, 1.79 
period1,sc01,t7331, 1.66 ,, 3.08 
period1,sc01,t7332, 1.44 ,, 3.38 
period1,sc01,t7333, 0.95 ,, 1.21 
period1,sc01,t7334, 0.88 ,, 1.26 
period1,sc01,t7335, 2.1 ,, 1.27 
period1,sc01,t7336, 4.11 ,, 1.84 
period1,sc01,t7337, 4.26 ,, 2.7 
period1,sc01,t7338, 4.99 ,, 1.91 
period1,sc01,t7339, 4.4 ,, 1.21 
period1,sc01,t7340, 2.46 ,, 1.55 
period1,sc01,t7341, 2.84 ,, 2.13 
period1,sc01,t7342, 3.66 ,, 2.12 
period1,sc01,t7343, 2.4 ,, 2.11 
period1,sc01,t7344, 3.11 ,, 2.25 
period1,sc01,t7345, 2.82 ,, 1.73 
period1,sc01,t7346, 2.72 ,, 1.46 
period1,sc01,t7347, 5.85 ,, 1.02 
period1,sc01,t7348, 2.53 ,, 1.04 
period1,sc01,t7349, 2.55 ,, 1.01 
period1,sc01,t7350, 2.74 ,, 1.31 
period1,sc01,t7351, 4.82 ,, 1.08 
period1,sc01,t7352, 2.47 ,, 1.11 
period1,sc01,t7353, 2.42 ,, 2.12 
period1,sc01,t7354, 2.41 ,, 2.97 
period1,sc01,t7355, 3.11 ,, 4.6 
period1,sc01,t7356, 2.49 ,, 2.89 
period1,sc01,t7357, 2.97 ,, 1.88 
period1,sc01,t7358, 2.61 ,, 1.28 
period1,sc01,t7359, 2.46 ,, 1.01 
period1,sc01,t7360, 3.31 ,, 1.42 
period1,sc01,t7361, 3.21 ,, 1.35 
period1,sc01,t7362, 3.74 ,, 1.42 
period1,sc01,t7363, 3.64 ,, 1.81 
period1,sc01,t7364, 4.77 ,, 1.8 
period1,sc01,t7365, 3.14 ,, 1.88 
period1,sc01,t7366, 3.5 ,, 2.18 
period1,sc01,t7367, 3.74 ,, 1.86 
period1,sc01,t7368, 5.09 ,, 1.66 
period1,sc01,t7369, 3.2 ,, 1.54 
period1,sc01,t7370, 3.29 ,, 1.58 
period1,sc01,t7371, 6.08 ,, 1.55 
period1,sc01,t7372, 3.85 ,, 1.51 
period1,sc01,t7373, 3.31 ,, 1.61 
period1,sc01,t7374, 4.96 ,, 1.28 
period1,sc01,t7375, 13.09 ,, 3.9 
period1,sc01,t7376, 4.9 ,, 2.39 
period1,sc01,t7377, 6.51 ,, 1.49 
period1,sc01,t7378, 5.36 ,, 1.48 
period1,sc01,t7379, 6.22 ,, 1.79 
period1,sc01,t7380, 2.57 ,, 1.18 
period1,sc01,t7381, 2.2 ,, 1.15 
period1,sc01,t7382, 2.83 ,, 1.57 
period1,sc01,t7383, 2.92 ,, 1.18 
period1,sc01,t7384, 3.99 ,, 1.19 
period1,sc01,t7385, 6.18 ,, 1.62 
period1,sc01,t7386, 4.48 ,, 1.57 
period1,sc01,t7387, 6.96 ,, 1.53 
