,,,EleD_01,HydD1,EleD_02
period1,sc01,t0344, 14.44 ,, 1.95 
period1,sc01,t0345, 10.59 ,, 1.37 
period1,sc01,t0346, 12.08 ,, 1.58 
period1,sc01,t0347, 9.6 ,, 1.1 
period1,sc01,t0348, 10.45 ,, 1.07 
period1,sc01,t0349, 10.03 ,, 1.24 
period1,sc01,t0350, 6.52 ,, 0.84 
period1,sc01,t0351, 6.51 ,, 0.99 
period1,sc01,t0352, 9.15 ,, 0.99 
period1,sc01,t0353, 9.01 ,, 1.09 
period1,sc01,t0354, 9.64 ,, 4.42 
period1,sc01,t0355, 13.52 ,, 5.52 
period1,sc01,t0356, 14.97 ,, 4.86 
period1,sc01,t0357, 13.01 ,, 4.22 
period1,sc01,t0358, 13.06 ,, 1.75 
period1,sc01,t0359, 8.54 ,, 1.63 
period1,sc01,t0360, 7.99 ,, 1.82 
period1,sc01,t0361, 8.13 ,, 1.49 
period1,sc01,t0362, 8.25 ,, 1.55 
period1,sc01,t0363, 7.76 ,, 1.96 
period1,sc01,t0364, 7.13 ,, 1.74 
period1,sc01,t0365, 6.53 ,, 2.09 
period1,sc01,t0366, 6.42 ,, 1.76 
period1,sc01,t0367, 8.84 ,, 2.16 
period1,sc01,t0368, 4.88 ,, 2.24 
period1,sc01,t0369, 4.91 ,, 3.64 
period1,sc01,t0370, 5.01 ,, 2.8 
period1,sc01,t0371, 6.57 ,, 2.71 
period1,sc01,t0372, 6.43 ,, 2.56 
period1,sc01,t0373, 4.38 ,, 2.47 
period1,sc01,t0374, 2.97 ,, 1.67 
period1,sc01,t0375, 4.14 ,, 3.08 
period1,sc01,t0376, 5.14 ,, 2.11 
period1,sc01,t0377, 7.07 ,, 2.8 
period1,sc01,t0378, 9.19 ,, 4.16 
period1,sc01,t0379, 14.81 ,, 2.33 
period1,sc01,t0380, 10.57 ,, 2.62 
period1,sc01,t0381, 5.48 ,, 3.71 
period1,sc01,t0382, 8.8 ,, 2.49 
period1,sc01,t0383, 5.93 ,, 1.7 
period1,sc01,t0384, 9.66 ,, 1.55 
period1,sc01,t0385, 9.86 ,, 1.85 
period1,sc01,t0386, 9.47 ,, 1.56 
period1,sc01,t0387, 12.07 ,, 1.93 
period1,sc01,t0388, 8.95 ,, 1.59 
period1,sc01,t0389, 8.86 ,, 1.67 
period1,sc01,t0390, 8.12 ,, 2.09 
period1,sc01,t0391, 9.91 ,, 2.56 
period1,sc01,t0392, 8.18 ,, 2.52 
period1,sc01,t0393, 7.2 ,, 2.77 
period1,sc01,t0394, 8.22 ,, 3.12 
period1,sc01,t0395, 7.19 ,, 1.16 
period1,sc01,t0396, 7.97 ,, 1.26 
period1,sc01,t0397, 7 ,, 1.85 
period1,sc01,t0398, 5.46 ,, 4.31 
period1,sc01,t0399, 6.31 ,, 4.33 
period1,sc01,t0400, 8.22 ,, 4.31 
period1,sc01,t0401, 8.92 ,, 2.8 
period1,sc01,t0402, 8.12 ,, 1.61 
period1,sc01,t0403, 10.47 ,, 1.24 
period1,sc01,t0404, 14.86 ,, 1.7 
period1,sc01,t0405, 13.68 ,, 1.49 
period1,sc01,t0406, 11.45 ,, 1.56 
period1,sc01,t0407, 8.25 ,, 1.31 
period1,sc01,t0408, 8.86 ,, 1.43 
period1,sc01,t0409, 8.22 ,, 1.67 
period1,sc01,t0410, 8.24 ,, 1.41 
period1,sc01,t0411, 9.41 ,, 1.44 
period1,sc01,t0412, 9.06 ,, 1.91 
period1,sc01,t0413, 11.99 ,, 2.54 
period1,sc01,t0414, 7.54 ,, 2.65 
period1,sc01,t0415, 6.29 ,, 3.02 
period1,sc01,t0416, 4.49 ,, 1.56 
period1,sc01,t0417, 4.39 ,, 1.85 
period1,sc01,t0418, 4.85 ,, 1.34 
period1,sc01,t0419, 8.42 ,, 1.15 
period1,sc01,t0420, 4.91 ,, 1.3 
period1,sc01,t0421, 5.43 ,, 0.98 
period1,sc01,t0422, 4.68 ,, 1.09 
period1,sc01,t0423, 4.47 ,, 1.28 
period1,sc01,t0424, 3.99 ,, 0.87 
period1,sc01,t0425, 4.6 ,, 1.15 
period1,sc01,t0426, 4.2 ,, 3.75 
period1,sc01,t0427, 5.21 ,, 4.59 
period1,sc01,t0428, 4.14 ,, 3.93 
period1,sc01,t0429, 4.45 ,, 1.68 
period1,sc01,t0430, 4.35 ,, 1.69 
period1,sc01,t0431, 3.88 ,, 1.98 
period1,sc01,t0432, 4.09 ,, 1.53 
period1,sc01,t0433, 2.8 ,, 1.92 
period1,sc01,t0434, 4.31 ,, 1.6 
period1,sc01,t0435, 3.98 ,, 1.66 
period1,sc01,t0436, 2.41 ,, 1.99 
period1,sc01,t0437, 3.99 ,, 2.61 
period1,sc01,t0438, 2.75 ,, 2.85 
period1,sc01,t0439, 4.57 ,, 2.83 
period1,sc01,t0440, 4.27 ,, 1.92 
period1,sc01,t0441, 4.34 ,, 1.37 
period1,sc01,t0442, 6.36 ,, 1.3 
period1,sc01,t0443, 5.49 ,, 1.01 
period1,sc01,t0444, 9.42 ,, 0.72 
period1,sc01,t0445, 4.99 ,, 0.64 
period1,sc01,t0446, 4.37 ,, 0.85 
period1,sc01,t0447, 4.38 ,, 0.62 
period1,sc01,t0448, 4.6 ,, 0.92 
period1,sc01,t0449, 4.4 ,, 0.82 
period1,sc01,t0450, 4.27 ,, 1.17 
period1,sc01,t0451, 4.45 ,, 1.22 
period1,sc01,t0452, 4.34 ,, 1.49 
period1,sc01,t0453, 4.32 ,, 4.4 
period1,sc01,t0454, 4.57 ,, 2.37 
period1,sc01,t0455, 3.88 ,, 1.23 
period1,sc01,t0456, 3.94 ,, 1.31 
period1,sc01,t0457, 3.98 ,, 1.59 
period1,sc01,t0458, 4.11 ,, 1.32 
period1,sc01,t0459, 3.92 ,, 1.42 
period1,sc01,t0460, 3.91 ,, 1.75 
period1,sc01,t0461, 3.89 ,, 2.37 
period1,sc01,t0462, 4.29 ,, 2.45 
period1,sc01,t0463, 10.43 ,, 3.38 
period1,sc01,t0464, 6.99 ,, 1.71 
period1,sc01,t0465, 4.93 ,, 1.23 
period1,sc01,t0466, 4.2 ,, 1.23 
period1,sc01,t0467, 4.32 ,, 0.81 
period1,sc01,t0468, 4.28 ,, 0.68 
period1,sc01,t0469, 4.04 ,, 0.98 
period1,sc01,t0470, 4.14 ,, 0.8 
period1,sc01,t0471, 4.33 ,, 0.8 
period1,sc01,t0472, 4.2 ,, 1.1 
period1,sc01,t0473, 4.08 ,, 1.31 
period1,sc01,t0474, 4.18 ,, 1.86 
period1,sc01,t0475, 4.39 ,, 1.86 
period1,sc01,t0476, 4.71 ,, 1.47 
period1,sc01,t0477, 7.31 ,, 3.41 
period1,sc01,t0478, 7.47 ,, 4.34 
period1,sc01,t0479, 7.47 ,, 2.41 
period1,sc01,t0480, 5.49 ,, 1.24 
period1,sc01,t0481, 7.32 ,, 1.17 
period1,sc01,t0482, 8.46 ,, 1.43 
period1,sc01,t0483, 9.81 ,, 1.3 
period1,sc01,t0484, 7.8 ,, 1.34 
period1,sc01,t0485, 8.91 ,, 2.5 
period1,sc01,t0486, 8.79 ,, 2.16 
period1,sc01,t0487, 8.28 ,, 2.53 
period1,sc01,t0488, 9.08 ,, 1.46 
period1,sc01,t0489, 8.61 ,, 1.54 
period1,sc01,t0490, 13.72 ,, 1.34 
period1,sc01,t0491, 14.76 ,, 1.45 
period1,sc01,t0492, 12.48 ,, 1.23 
period1,sc01,t0493, 13.07 ,, 1.02 
period1,sc01,t0494, 8.58 ,, 1.49 
period1,sc01,t0495, 4.61 ,, 1.13 
period1,sc01,t0496, 5.84 ,, 1.06 
period1,sc01,t0497, 7.98 ,, 1.74 
period1,sc01,t0498, 8.01 ,, 1.29 
period1,sc01,t0499, 11.29 ,, 3.61 
period1,sc01,t0500, 9.51 ,, 4.29 
period1,sc01,t0501, 12.55 ,, 3.65 
period1,sc01,t0502, 8.21 ,, 1.34 
period1,sc01,t0503, 5.28 ,, 1.28 
period1,sc01,t0504, 4.19 ,, 1.18 
period1,sc01,t0505, 3.99 ,, 1.54 
period1,sc01,t0506, 4.21 ,, 1.26 
period1,sc01,t0507, 4.08 ,, 1.25 
period1,sc01,t0508, 4.42 ,, 1.77 
period1,sc01,t0509, 4.04 ,, 2.26 
period1,sc01,t0510, 3.65 ,, 2.52 
period1,sc01,t0511, 4.08 ,, 2.29 
period1,sc01,t0512, 5.5 ,, 2.37 
period1,sc01,t0513, 4.61 ,, 1.52 
period1,sc01,t0514, 3.71 ,, 1.2 
period1,sc01,t0515, 3.52 ,, 1.29 
period1,sc01,t0516, 4.51 ,, 1.09 
period1,sc01,t0517, 7.97 ,, 1.07 
period1,sc01,t0518, 7.11 ,, 4.14 
period1,sc01,t0519, 7.17 ,, 5.5 
period1,sc01,t0520, 4.94 ,, 4.62 
period1,sc01,t0521, 4.08 ,, 3.4 
period1,sc01,t0522, 3.09 ,, 1.16 
period1,sc01,t0523, 3.99 ,, 1.65 
period1,sc01,t0524, 3.2 ,, 1.4 
period1,sc01,t0525, 4.1 ,, 1.51 
period1,sc01,t0526, 4.31 ,, 1.68 
period1,sc01,t0527, 3.97 ,, 1.14 
period1,sc01,t0528, 4.17 ,, 1.53 
period1,sc01,t0529, 3.96 ,, 1.03 
period1,sc01,t0530, 4.5 ,, 1.45 
period1,sc01,t0531, 6.15 ,, 1.07 
period1,sc01,t0532, 4.37 ,, 1.12 
period1,sc01,t0533, 4.08 ,, 1.37 
period1,sc01,t0534, 4.02 ,, 1.17 
period1,sc01,t0535, 3.64 ,, 1.14 
period1,sc01,t0536, 4.19 ,, 1.78 
period1,sc01,t0537, 5.13 ,, 2.24 
period1,sc01,t0538, 12.23 ,, 1.98 
period1,sc01,t0539, 5.32 ,, 2.52 
period1,sc01,t0540, 5.54 ,, 1.29 
period1,sc01,t0541, 6.42 ,, 1.17 
period1,sc01,t0542, 7.21 ,, 0.93 
period1,sc01,t0543, 5.63 ,, 1.32 
period1,sc01,t0544, 6.15 ,, 1.84 
period1,sc01,t0545, 5.79 ,, 3.54 
period1,sc01,t0546, 6.09 ,, 1.51 
period1,sc01,t0547, 3.86 ,, 2.73 
period1,sc01,t0548, 4.67 ,, 1.42 
period1,sc01,t0549, 3.48 ,, 0.89 
period1,sc01,t0550, 4.21 ,, 1.27 
period1,sc01,t0551, 2.99 ,, 1.29 
period1,sc01,t0552, 3.93 ,, 0.59 
period1,sc01,t0553, 3 ,, 0.94 
period1,sc01,t0554, 3.89 ,, 0.65 
period1,sc01,t0555, 2.91 ,, 0.73 
period1,sc01,t0556, 3.62 ,, 1.22 
period1,sc01,t0557, 3.03 ,, 0.76 
