,,,EleR_01,HydR_01
period1,sc01,t0356, 0.421178167 ,
period1,sc01,t0357, 0.313014833 ,
period1,sc01,t0358, 0.272843333 ,
period1,sc01,t0359, 0.252637 ,
period1,sc01,t0360, 0.232645 ,
period1,sc01,t0361, 0.246977167 ,
period1,sc01,t0362, 0.239596333 ,
period1,sc01,t0363, 0.231632167 ,
period1,sc01,t0364, 0.226991833 ,
period1,sc01,t0365, 0.224255667 ,
period1,sc01,t0366, 0.230407667 ,
period1,sc01,t0367, 0.225588833 ,
period1,sc01,t0368, 0.228214333 ,
period1,sc01,t0369, 0.248725 ,
period1,sc01,t0370, 0.295313667 ,
period1,sc01,t0371, 0.311435167 ,
period1,sc01,t0372, 0.309337167 ,
period1,sc01,t0373, 0.271557 ,
period1,sc01,t0374, 0.245289333 ,
period1,sc01,t0375, 0.237600333 ,
period1,sc01,t0376, 0.239507333 ,
period1,sc01,t0377, 0.282888 ,
period1,sc01,t0378, 0.380116833 ,
period1,sc01,t0379, 0.378307 ,
period1,sc01,t0380, 0.281911 ,
period1,sc01,t0381, 0.244037333 ,
period1,sc01,t0382, 0.233795667 ,
period1,sc01,t0383, 0.2304065 ,
period1,sc01,t0384, 0.2193315 ,
period1,sc01,t0385, 0.204415833 ,
period1,sc01,t0386, 0.1894995 ,
period1,sc01,t0387, 0.194222667 ,
period1,sc01,t0388, 0.196137667 ,
period1,sc01,t0389, 0.195417667 ,
period1,sc01,t0390, 0.195742167 ,
period1,sc01,t0391, 0.188547667 ,
period1,sc01,t0392, 0.2092425 ,
period1,sc01,t0393, 0.220175167 ,
period1,sc01,t0394, 0.23021 ,
period1,sc01,t0395, 0.247447833 ,
period1,sc01,t0396, 0.254787333 ,
period1,sc01,t0397, 0.2428315 ,
period1,sc01,t0398, 0.242856167 ,
period1,sc01,t0399, 0.239224 ,
period1,sc01,t0400, 0.247990667 ,
period1,sc01,t0401, 0.299947 ,
period1,sc01,t0402, 0.369906 ,
period1,sc01,t0403, 0.3995985 ,
period1,sc01,t0404, 0.354363667 ,
period1,sc01,t0405, 0.300536833 ,
period1,sc01,t0406, 0.2447995 ,
period1,sc01,t0407, 0.239271333 ,
period1,sc01,t0408, 0.228073 ,
period1,sc01,t0409, 0.224043667 ,
period1,sc01,t0410, 0.219554 ,
period1,sc01,t0411, 0.220364333 ,
period1,sc01,t0412, 0.219447833 ,
period1,sc01,t0413, 0.220025333 ,
period1,sc01,t0414, 0.227251 ,
period1,sc01,t0415, 0.255165833 ,
period1,sc01,t0416, 0.442168333 ,
period1,sc01,t0417, 0.763920167 ,
period1,sc01,t0418, 0.502754 ,
period1,sc01,t0419, 0.478952 ,
period1,sc01,t0420, 0.4528745 ,
period1,sc01,t0421, 0.438885 ,
period1,sc01,t0422, 0.433192667 ,
period1,sc01,t0423, 0.428627667 ,
period1,sc01,t0424, 0.4682545 ,
period1,sc01,t0425, 0.762713667 ,
period1,sc01,t0426, 0.884252667 ,
period1,sc01,t0427, 0.590522667 ,
period1,sc01,t0428, 0.445192833 ,
period1,sc01,t0429, 0.319085833 ,
period1,sc01,t0430, 0.248355667 ,
period1,sc01,t0431, 0.232 ,
period1,sc01,t0432, 0.2220905 ,
period1,sc01,t0433, 0.229055167 ,
period1,sc01,t0434, 0.220466333 ,
period1,sc01,t0435, 0.217961667 ,
period1,sc01,t0436, 0.222288 ,
period1,sc01,t0437, 0.228362833 ,
period1,sc01,t0438, 0.246513667 ,
period1,sc01,t0439, 0.302439 ,
period1,sc01,t0440, 0.562986333 ,
period1,sc01,t0441, 0.690872833 ,
period1,sc01,t0442, 0.624671667 ,
period1,sc01,t0443, 0.572868667 ,
period1,sc01,t0444, 0.5735885 ,
period1,sc01,t0445, 0.55101 ,
period1,sc01,t0446, 0.546456333 ,
period1,sc01,t0447, 0.524306667 ,
period1,sc01,t0448, 0.701538167 ,
period1,sc01,t0449, 1.256712833 ,
period1,sc01,t0450, 1.701726333 ,
period1,sc01,t0451, 0.9284785 ,
period1,sc01,t0452, 0.536358667 ,
period1,sc01,t0453, 0.449088667 ,
period1,sc01,t0454, 0.351496333 ,
period1,sc01,t0455, 0.306441333 ,
period1,sc01,t0456, 0.2712255 ,
period1,sc01,t0457, 0.2425625 ,
period1,sc01,t0458, 0.238027167 ,
period1,sc01,t0459, 0.240064833 ,
period1,sc01,t0460, 0.2310605 ,
period1,sc01,t0461, 0.240061167 ,
period1,sc01,t0462, 0.248166167 ,
period1,sc01,t0463, 0.3082655 ,
period1,sc01,t0464, 0.527829 ,
period1,sc01,t0465, 0.652063 ,
period1,sc01,t0466, 0.604915833 ,
period1,sc01,t0467, 0.562329833 ,
period1,sc01,t0468, 0.535937667 ,
period1,sc01,t0469, 0.545671667 ,
period1,sc01,t0470, 0.535921667 ,
period1,sc01,t0471, 0.5116375 ,
period1,sc01,t0472, 0.505277333 ,
period1,sc01,t0473, 0.803924833 ,
period1,sc01,t0474, 1.023849 ,
period1,sc01,t0475, 0.753042333 ,
period1,sc01,t0476, 0.649196167 ,
period1,sc01,t0477, 0.465101333 ,
period1,sc01,t0478, 0.372124667 ,
period1,sc01,t0479, 0.311616167 ,
period1,sc01,t0480, 0.276010667 ,
period1,sc01,t0481, 0.276944833 ,
period1,sc01,t0482, 0.259937667 ,
period1,sc01,t0483, 0.249228333 ,
period1,sc01,t0484, 0.252159333 ,
period1,sc01,t0485, 0.257204667 ,
period1,sc01,t0486, 0.280585333 ,
period1,sc01,t0487, 0.415289833 ,
period1,sc01,t0488, 1.871856833 ,
period1,sc01,t0489, 2.001019333 ,
period1,sc01,t0490, 1.859101 ,
period1,sc01,t0491, 1.207475167 ,
period1,sc01,t0492, 0.698853833 ,
period1,sc01,t0493, 0.573644667 ,
period1,sc01,t0494, 0.552820167 ,
period1,sc01,t0495, 0.567103667 ,
period1,sc01,t0496, 0.937706833 ,
period1,sc01,t0497, 1.869738667 ,
period1,sc01,t0498, 1.870805667 ,
period1,sc01,t0499, 1.8472345 ,
period1,sc01,t0500, 0.574254833 ,
period1,sc01,t0501, 0.466197333 ,
period1,sc01,t0502, 0.338848167 ,
period1,sc01,t0503, 0.283446 ,
period1,sc01,t0504, 0.258381167 ,
period1,sc01,t0505, 0.255481333 ,
period1,sc01,t0506, 0.254207333 ,
period1,sc01,t0507, 0.244032333 ,
period1,sc01,t0508, 0.244872 ,
period1,sc01,t0509, 0.251666833 ,
period1,sc01,t0510, 0.263106833 ,
period1,sc01,t0511, 0.295409167 ,
period1,sc01,t0512, 0.7564205 ,
period1,sc01,t0513, 1.1204645 ,
period1,sc01,t0514, 1.109609667 ,
period1,sc01,t0515, 0.522205833 ,
period1,sc01,t0516, 0.4665895 ,
