Period,Scenario,LoadLevel,Sell,Date
period1,sc01,t6181,7.228820026,2025-09-15 13:27:00
period1,sc01,t5340,7.22021628,2025-08-11 12:27:00
period1,sc01,t3087,7.212244127000001,2025-05-09 15:27:00
period1,sc01,t3183,7.196960109,2025-05-13 15:27:00
period1,sc01,t5436,7.182154927,2025-08-15 12:27:00
period1,sc01,t2486,7.171078483800001,2025-04-14 14:27:00
period1,sc01,t4935,7.169394359,2025-07-25 15:27:00
period1,sc01,t5367,7.168503768,2025-08-12 15:27:00
period1,sc01,t2674,7.166701315000001,2025-04-22 10:27:00
period1,sc01,t3110,7.165982469999999,2025-05-10 14:27:00
period1,sc01,t4307,7.164826561,2025-06-29 11:27:00
period1,sc01,t5098,7.155142758999999,2025-08-01 10:27:00
period1,sc01,t3633,7.148541377,2025-06-01 09:27:00
period1,sc01,t3657,7.146340171,2025-06-02 09:27:00
period1,sc01,t4167,7.140108895,2025-06-23 15:27:00
period1,sc01,t5295,7.133662657,2025-08-09 15:27:00
period1,sc01,t4546,7.129584186,2025-07-09 10:27:00
period1,sc01,t5775,7.128073544,2025-08-29 15:27:00
period1,sc01,t6684,7.127796054,2025-10-06 12:27:00
period1,sc01,t4549,7.126959687,2025-07-09 13:27:00
period1,sc01,t3129,7.119507915,2025-05-11 09:27:00
period1,sc01,t4907,7.116251435000001,2025-07-24 11:27:00
period1,sc01,t3443,7.110908875,2025-05-24 11:27:00
period1,sc01,t7284,7.1087761679999995,2025-10-31 12:27:00
period1,sc01,t4934,7.107266846,2025-07-25 14:27:00
period1,sc01,t5103,7.104086360999999,2025-08-01 15:27:00
period1,sc01,t5770,7.089228708,2025-08-29 10:27:00
period1,sc01,t5005,7.087173998,2025-07-28 13:27:00
period1,sc01,t2700,7.070466444,2025-04-23 12:27:00
period1,sc01,t4526,7.066289553,2025-07-08 14:27:00
period1,sc01,t5774,7.049027372,2025-08-29 14:27:00
period1,sc01,t3493,7.045110113,2025-05-26 13:27:00
period1,sc01,t2890,7.044653852,2025-05-01 10:27:00
period1,sc01,t4834,7.044463408000001,2025-07-21 10:27:00
period1,sc01,t5266,7.036293192,2025-08-08 10:27:00
period1,sc01,t5052,7.034013841,2025-07-30 12:27:00
period1,sc01,t6660,7.030109346,2025-10-05 12:27:00
period1,sc01,t2462,7.007115247100001,2025-04-13 14:27:00
period1,sc01,t6012,6.994825812,2025-09-08 12:27:00
period1,sc01,t4166,6.994236675,2025-06-23 14:27:00
period1,sc01,t4884,6.988505098,2025-07-23 12:27:00
period1,sc01,t6731,6.984929115,2025-10-08 11:27:00
period1,sc01,t1405,6.982021351000001,2025-02-28 13:27:00
period1,sc01,t4599,6.978161238,2025-07-11 15:27:00
period1,sc01,t6614,6.971314533,2025-10-03 14:27:00
