Period,Scenario,LoadLevel,Date,MWh,KWh,Type
period1,sc01,t0179,2025-01-08 11:27:00,-3.0143446849999997,-3.0143446849999997,NetDemand
period1,sc01,t0180,2025-01-08 12:27:00,-4.006060373,-4.006060373,NetDemand
period1,sc01,t0181,2025-01-08 13:27:00,-2.466120661,-2.466120661,NetDemand
period1,sc01,t0182,2025-01-08 14:27:00,-4.96628604,-4.96628604,NetDemand
period1,sc01,t0183,2025-01-08 15:27:00,-5.308867157999999,-5.308867157999999,NetDemand
period1,sc01,t0184,2025-01-08 16:27:00,-3.1000000000000005,-3.1000000000000005,NetDemand
period1,sc01,t0185,2025-01-08 17:27:00,-4.6819999999999995,-4.6819999999999995,NetDemand
period1,sc01,t0186,2025-01-08 18:27:00,-2.338,-2.338,NetDemand
period1,sc01,t0187,2025-01-08 19:27:00,-3.059,-3.059,NetDemand
period1,sc01,t0188,2025-01-08 20:27:00,-6.381000000000001,-6.381000000000001,NetDemand
period1,sc01,t0189,2025-01-08 21:27:00,-3.9800000000000004,-3.9800000000000004,NetDemand
period1,sc01,t0190,2025-01-08 22:27:00,-6.629999999999999,-6.629999999999999,NetDemand
period1,sc01,t0191,2025-01-08 23:27:00,-2.457,-2.457,NetDemand
period1,sc01,t0192,2025-01-09 00:27:00,-4.953,-4.953,NetDemand
period1,sc01,t0193,2025-01-09 01:27:00,-2.761,-2.761,NetDemand
period1,sc01,t0194,2025-01-09 02:27:00,-5.109,-5.109,NetDemand
period1,sc01,t0195,2025-01-09 03:27:00,-2.8519999999999994,-2.8519999999999994,NetDemand
period1,sc01,t0196,2025-01-09 04:27:00,-5.278,-5.278,NetDemand
period1,sc01,t0197,2025-01-09 05:27:00,-3.861,-3.861,NetDemand
period1,sc01,t0198,2025-01-09 06:27:00,-3.039,-3.039,NetDemand
period1,sc01,t0199,2025-01-09 07:27:00,-5.427999999999999,-5.427999999999999,NetDemand
period1,sc01,t0200,2025-01-09 08:27:00,-2.7720000000000002,-2.7720000000000002,NetDemand
period1,sc01,t0201,2025-01-09 09:27:00,-5.356,-5.356,NetDemand
period1,sc01,t0202,2025-01-09 10:27:00,-3.194000000000001,-3.194000000000001,NetDemand
