Period,Scenario,LoadLevel,TotalOutput,Date
period1,sc01,t3759,7.816358367,2025-06-06 15:27:00
period1,sc01,t5462,7.804970447,2025-08-16 14:27:00
period1,sc01,t1355,7.801196067,2025-02-26 11:27:00
period1,sc01,t1334,7.800760801,2025-02-25 14:27:00
period1,sc01,t3443,7.792908875,2025-05-24 11:27:00
period1,sc01,t3658,7.792642112,2025-06-02 10:27:00
period1,sc01,t5461,7.782615562,2025-08-16 13:27:00
period1,sc01,t6274,7.78150538,2025-09-19 10:27:00
period1,sc01,t6227,7.780679953,2025-09-17 11:27:00
period1,sc01,t4237,7.777813356,2025-06-26 13:27:00
period1,sc01,t2195,7.775139407,2025-04-02 11:27:00
period1,sc01,t3639,7.768385028,2025-06-01 15:27:00
period1,sc01,t3660,7.763407331,2025-06-02 12:27:00
period1,sc01,t4860,7.762840058,2025-07-22 12:27:00
period1,sc01,t5962,7.754815938,2025-09-06 10:27:00
period1,sc01,t3183,7.749960109,2025-05-13 15:27:00
period1,sc01,t6229,7.746846572,2025-09-17 13:27:00
period1,sc01,t2745,7.742931775,2025-04-25 09:27:00
period1,sc01,t6276,7.742509588,2025-09-19 12:27:00
period1,sc01,t2463,7.73359346,2025-04-13 15:27:00
period1,sc01,t3970,7.731464396,2025-06-15 10:27:00
period1,sc01,t5511,7.723940239,2025-08-18 15:27:00
period1,sc01,t5487,7.707826999,2025-08-17 15:27:00
period1,sc01,t1310,7.690290007,2025-02-24 14:27:00
period1,sc01,t5055,7.690192287,2025-07-30 15:27:00
period1,sc01,t5103,7.690086361,2025-08-01 15:27:00
period1,sc01,t5151,7.689980435,2025-08-03 15:27:00
period1,sc01,t5175,7.689927472,2025-08-04 15:27:00
period1,sc01,t5199,7.689874509,2025-08-05 15:27:00
period1,sc01,t5223,7.689821546,2025-08-06 15:27:00
period1,sc01,t5247,7.689768583,2025-08-07 15:27:00
period1,sc01,t5271,7.68971562,2025-08-08 15:27:00
period1,sc01,t5295,7.689662657,2025-08-09 15:27:00
period1,sc01,t5319,7.689609694,2025-08-10 15:27:00
period1,sc01,t5343,7.689556731,2025-08-11 15:27:00
period1,sc01,t5367,7.689503768,2025-08-12 15:27:00
period1,sc01,t2223,7.682132692,2025-04-03 15:27:00
period1,sc01,t2721,7.679230175,2025-04-24 09:27:00
period1,sc01,t2703,7.675440578,2025-04-23 15:27:00
period1,sc01,t4574,7.674993573,2025-07-10 14:27:00
period1,sc01,t6684,7.673796054,2025-10-06 12:27:00
period1,sc01,t6204,7.673588293,2025-09-16 12:27:00
period1,sc01,t3706,7.672381614,2025-06-04 10:27:00
period1,sc01,t4571,7.656800441,2025-07-10 11:27:00
period1,sc01,t2098,7.656698782,2025-03-29 10:27:00
period1,sc01,t6420,7.645872116,2025-09-25 12:27:00
period1,sc01,t2818,7.645575261,2025-04-28 10:27:00
period1,sc01,t3063,7.640948669,2025-05-08 15:27:00
period1,sc01,t2007,7.635103209,2025-03-25 15:27:00
period1,sc01,t3087,7.623244127,2025-05-09 15:27:00
period1,sc01,t7284,7.619776168,2025-10-31 12:27:00
period1,sc01,t4546,7.610584186,2025-07-09 10:27:00
period1,sc01,t4333,7.59080856,2025-06-30 13:27:00
period1,sc01,t6734,7.587117426,2025-10-08 14:27:00
period1,sc01,t2697,7.582023254,2025-04-23 09:27:00
period1,sc01,t1358,7.578846621,2025-02-26 14:27:00
period1,sc01,t6442,7.57259379,2025-09-26 10:27:00
period1,sc01,t1882,7.569182165,2025-03-20 10:27:00
period1,sc01,t3777,7.566539849,2025-06-07 09:27:00
period1,sc01,t7260,7.564166962,2025-10-30 12:27:00
period1,sc01,t2673,7.555463988,2025-04-22 09:27:00
period1,sc01,t3177,7.549134003,2025-05-13 09:27:00
period1,sc01,t3873,7.538454248,2025-06-11 09:27:00
period1,sc01,t3663,7.537677389,2025-06-02 15:27:00
period1,sc01,t3111,7.537650266,2025-05-10 15:27:00
period1,sc01,t3925,7.5359180798,2025-06-13 13:27:00
period1,sc01,t5628,7.534267345,2025-08-23 12:27:00
period1,sc01,t6156,7.533892371,2025-09-14 12:27:00
period1,sc01,t3707,7.532242867,2025-06-04 11:27:00
period1,sc01,t6949,7.531058642,2025-10-17 13:27:00
period1,sc01,t4306,7.524730438,2025-06-29 10:27:00
period1,sc01,t6710,7.516482561,2025-10-07 14:27:00
period1,sc01,t6278,7.513031112,2025-09-19 14:27:00
period1,sc01,t5362,7.512379154,2025-08-12 10:27:00
period1,sc01,t5338,7.512357664,2025-08-11 10:27:00
period1,sc01,t5314,7.512336173,2025-08-10 10:27:00
period1,sc01,t5290,7.512314683,2025-08-09 10:27:00
period1,sc01,t5266,7.512293192,2025-08-08 10:27:00
period1,sc01,t5242,7.512271702,2025-08-07 10:27:00
