,,,EleR_01,HydR_01
period1,sc01,t0629, 1.2561416 ,
period1,sc01,t0630, 1.41422119999999 ,
period1,sc01,t0631, 1.6920372 ,
period1,sc01,t0632, 2.02162799999999 ,
period1,sc01,t0633, 2.2386 ,
period1,sc01,t0634, 2.2867012 ,
period1,sc01,t0635, 2.1848736 ,
period1,sc01,t0636, 2.1135828 ,
period1,sc01,t0637, 2.0364372 ,
period1,sc01,t0638, 1.72177039999999 ,
period1,sc01,t0639, 1.5370572 ,
period1,sc01,t0640, 1.53694239999999 ,
period1,sc01,t0641, 2.0891304 ,
period1,sc01,t0642, 2.2009456 ,
period1,sc01,t0643, 1.4904484 ,
period1,sc01,t0644, 1.4392476 ,
period1,sc01,t0645, 0.9747668 ,
period1,sc01,t0646, 0.5684896 ,
period1,sc01,t0647, 0.3666712 ,
period1,sc01,t0648, 0.336364 ,
period1,sc01,t0649, 0.3119116 ,
period1,sc01,t0650, 0.3353308 ,
period1,sc01,t0651, 0.3272948 ,
period1,sc01,t0652, 0.3175368 ,
period1,sc01,t0653, 0.3170776 ,
period1,sc01,t0654, 0.3028424 ,
period1,sc01,t0655, 0.3037608 ,
period1,sc01,t0656, 0.329476 ,
period1,sc01,t0657, 0.3464664 ,
period1,sc01,t0658, 0.3588648 ,
period1,sc01,t0659, 0.4074252 ,
period1,sc01,t0660, 0.4392248 ,
period1,sc01,t0661, 0.4317628 ,
period1,sc01,t0662, 0.4113284 ,
period1,sc01,t0663, 0.4018 ,
period1,sc01,t0664, 0.4007668 ,
