,,,EV_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,BESS_01,Solar_01,Solar_02,Solar_03,Solar_04,Solar_05,Solar_06,Solar_07,Solar_08,Solar_09,Solar_10
period1,sc01,t0102, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0103, 0 , 0.50250265125229 , 0 , 0.923551600837542 , 0.921654927895527 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0104, 0 , 0.50250265125229 , 0 , 0.923551600837542 , 0.921654927895527 , 0 , 0 , 1.4504432347622 , 0 , 2.47271323681636 ,,,,,,,,,,,
period1,sc01,t0105, 1.74815629792412 , 0.50250265125229 , 0 , 0.923551600837542 , 0.921654927895527 , 0 , 1.03321330193894 , 1.4504432347622 , 0 , 2.47271323681636 ,,,,,,,,,,,
period1,sc01,t0106, 1.74815629792412 , 0.50250265125229 , 0 , 0.923551600837542 , 0.921654927895527 , 0 , 1.03321330193894 , 1.4504432347622 , 0 , 2.47271323681636 ,,,,,,,,,,,
period1,sc01,t0107, 1.74815629792412 , 0.50250265125229 , 0 , 0.923551600837542 , 0.921654927895527 , 0 , 1.03321330193894 , 1.4504432347622 , 0 , 2.47271323681636 ,,,,,,,,,,,
period1,sc01,t0108, 1.74815629792412 , 0.50250265125229 , 0 , 0.923551600837542 , 0.921654927895527 , 0 , 1.03321330193894 , 1.4504432347622 , 0 , 2.47271323681636 ,,,,,,,,,,,
period1,sc01,t0109, 1.74815629792412 , 0.50250265125229 , 0 , 0.923551600837542 , 0.921654927895527 , 0 , 1.03321330193894 , 1.4504432347622 , 0 , 2.47271323681636 ,,,,,,,,,,,
period1,sc01,t0110, 1.74815629792412 , 0.50250265125229 , 0 , 0.923551600837542 , 0.921654927895527 , 0 , 1.03321330193894 , 1.4504432347622 , 0 , 2.47271323681636 ,,,,,,,,,,,
period1,sc01,t0111, 1.74815629792412 , 0.50250265125229 , 0 , 0.923551600837542 , 0.921654927895527 , 0 , 1.03321330193894 , 1.4504432347622 , 0 , 2.47271323681636 ,,,,,,,,,,,
period1,sc01,t0112, 1.74815629792412 , 0.50250265125229 , 0 , 0 , 0.921654927895527 , 0 , 1.03321330193894 , 1.4504432347622 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0113, 1.74815629792412 , 0.50250265125229 , 0 , 0 , 0 , 0 , 1.03321330193894 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0114, 0 , 0 , 0 , 0 , 0 , 0 , 1.03321330193894 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0115, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0116, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0117, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0118, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0119, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0120, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0121, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0122, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0123, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0124, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0125, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0126, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0127, 0.409105057501722 , 0 , 0 , 0 , 0 , 0.325825288035266 , 0 , 0 , 0.143942810298844 , 0 ,,,,,,,,,,,
period1,sc01,t0128, 0.409105057501722 , 0 , 1.04040947762431 , 0.572104796822036 , 0.800557261277087 , 0.325825288035266 , 0.533778978341532 , 0 , 0.143942810298844 , 0.477513256733357 ,,,,,,,,,,,
period1,sc01,t0129, 0.409105057501722 , 0 , 1.04040947762431 , 0.572104796822036 , 0.800557261277087 , 0.325825288035266 , 0.533778978341532 , 0 , 0.143942810298844 , 0.477513256733357 ,,,,,,,,,,,
period1,sc01,t0130, 0.409105057501722 , 0 , 1.04040947762431 , 0.572104796822036 , 0.800557261277087 , 0.325825288035266 , 0.533778978341532 , 0 , 0.143942810298844 , 0.477513256733357 ,,,,,,,,,,,
period1,sc01,t0131, 0.409105057501722 , 0 , 1.04040947762431 , 0.572104796822036 , 0.800557261277087 , 0.325825288035266 , 0.533778978341532 , 0 , 0.143942810298844 , 0.477513256733357 ,,,,,,,,,,,
period1,sc01,t0132, 0.409105057501722 , 0 , 1.04040947762431 , 0.572104796822036 , 0.800557261277087 , 0.325825288035266 , 0.533778978341532 , 0 , 0.143942810298844 , 0.477513256733357 ,,,,,,,,,,,
period1,sc01,t0133, 0.409105057501722 , 0 , 1.04040947762431 , 0.572104796822036 , 0.800557261277087 , 0.325825288035266 , 0.533778978341532 , 0 , 0.143942810298844 , 0.477513256733357 ,,,,,,,,,,,
period1,sc01,t0134, 0.409105057501722 , 0 , 1.04040947762431 , 0.572104796822036 , 0.800557261277087 , 0.325825288035266 , 0.533778978341532 , 0 , 0.143942810298844 , 0.477513256733357 ,,,,,,,,,,,
period1,sc01,t0135, 0.409105057501722 , 0 , 1.04040947762431 , 0.572104796822036 , 0.800557261277087 , 0.325825288035266 , 0.533778978341532 , 0 , 0.143942810298844 , 0.477513256733357 ,,,,,,,,,,,
period1,sc01,t0136, 0.409105057501722 , 0 , 1.04040947762431 , 0.572104796822036 , 0.800557261277087 , 0.325825288035266 , 0.533778978341532 , 0 , 0.143942810298844 , 0.477513256733357 ,,,,,,,,,,,
period1,sc01,t0137, 0.409105057501722 , 0 , 0 , 0.572104796822036 , 0 , 0.325825288035266 , 0.533778978341532 , 0 , 0.143942810298844 , 0 ,,,,,,,,,,,
period1,sc01,t0138, 0 , 0 , 0 , 0.572104796822036 , 0 , 0.325825288035266 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0139, 0 , 0 , 0 , 0 , 0 , 0.325825288035266 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0140, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0141, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0142, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0143, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0144, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0145, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0146, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0147, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0148, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0149, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0150, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0151, 0 , 0 , 0 , 1.97550771218164 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0152, 0 , 0 , 0 , 1.97550771218164 , 0 , 0 , 0.516452456985637 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0153, 0 , 0 , 0 , 1.97550771218164 , 0 , 0 , 0.516452456985637 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0154, 0 , 0 , 0 , 1.97550771218164 , 1.25993073011832 , 0 , 0.516452456985637 , 1.98021897995394 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0155, 0 , 0 , 0 , 1.97550771218164 , 1.25993073011832 , 0 , 0.516452456985637 , 1.98021897995394 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0156, 0 , 0 , 0 , 1.97550771218164 , 1.25993073011832 , 0 , 0.516452456985637 , 1.98021897995394 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0157, 0 , 0 , 0 , 1.97550771218164 , 1.25993073011832 , 0 , 0.516452456985637 , 1.98021897995394 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0158, 0 , 0 , 0 , 0 , 0 , 0 , 0.516452456985637 , 1.98021897995394 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0159, 0 , 0 , 0 , 0 , 0 , 0 , 0.516452456985637 , 1.98021897995394 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0160, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.98021897995394 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0161, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0162, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0163, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0164, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
period1,sc01,t0165, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,,,,,,,,,,,
