,,,Solar_01,BESS_01,EV_01,AEL_01,PEMEL_01,EV_02,EV_03,EV_04,EV_05,EV_06,EV_07,EV_08,EV_09,EV_10,EV_11,EV_12,EV_13,EV_14,EV_15,EV_16,EV_17,EV_18,EV_19,EV_20
period1,sc01,t0245, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0246, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0247, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0248, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0249, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0250, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0251, 0.00000122 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0252, 0.003529172 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0253, 0.021134486 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0254, 0.010569093 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0255, 0.010565364 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0256, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0257, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0258, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0259, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0260, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0261, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0262, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0263, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0264, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0265, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0266, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0267, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0268, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0269, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0270, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0271, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0272, 0.00001 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0273, 0.00000399 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0274, 0.010601152 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0275, 0.095120492 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0276, 0.091593419 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0277, 0.077505328 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0278, 0.073975515 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0279, 0.052826419 ,,,,,,,,,,,,,,,,,,,,,,,
period1,sc01,t0280, 0.003521666 ,,,,,,,,,,,,,,,,,,,,,,,
